1265.729435,398.805383,625.439923,6.007342,0.686834,0.055447,-0.687349,-0.088002
1253.633500,618.515368,596.503926,6.019137,0.773923,0.042648,-0.741352,-0.044094
1277.871361,354.477985,897.385699,6.019619,0.464993,-0.055881,-0.474719,-0.029875
1060.893902,395.390331,627.863235,6.025047,0.678623,-0.011813,-0.678387,-0.002581
1254.947051,393.860046,630.033473,6.034894,0.678623,-0.011813,-0.695212,0.007064
1290.432844,416.406178,696.730170,6.033694,0.773923,0.042648,-0.730535,-0.073247
860.311862,395.309028,822.717111,6.025553,0.678623,-0.011813,-0.673843,0.011366
1277.150253,393.887809,840.825170,6.034759,0.678623,-0.011813,-0.697939,-0.009527
873.878503,353.460234,692.193259,6.025336,0.464993,-0.055881,-0.469810,0.049106
1207.477096,339.019573,1010.329890,6.037989,0.386006,-0.045516,-0.400589,0.056551
801.376682,548.486467,716.432295,5.986490,0.386006,-0.045516,-0.366002,-0.010215
1100.015902,423.624147,905.162522,5.988093,0.773923,0.042648,-0.835615,-0.008374
926.143758,371.298151,663.079165,5.998493,0.553613,0.109464,-0.563270,-0.053083
990.829390,419.725390,839.767445,6.010903,0.773923,0.042648,-0.759843,-0.007218
819.150121,622.839798,596.185958,5.991702,0.773923,0.042648,-0.774257,-0.030591
961.519384,424.296328,738.920845,5.983290,0.773923,0.042648,-0.765842,-0.026808
1132.539275,421.986465,717.513467,5.997269,0.773923,0.042648,-0.745771,-0.049974
991.365114,375.138663,696.296641,5.989323,0.565389,0.111470,-0.590909,-0.116452
669.455376,422.929364,796.209258,5.991172,0.773923,0.042648,-0.774438,-0.030907
1088.608706,358.153413,655.618511,5.984436,0.456866,0.039037,-0.462068,-0.048762
666.724976,420.259168,593.169247,5.990550,0.766248,0.088677,-0.728346,-0.037441
1167.317355,421.423892,552.783845,6.001183,0.773923,0.042648,-0.833761,0.012082
742.112098,615.637091,799.377689,6.038071,0.773923,0.042648,-0.799014,-0.029030
704.336232,393.966513,630.603245,6.035454,0.678623,-0.011813,-0.735008,0.032796
549.190177,428.871666,781.185013,6.022076,0.814727,0.036322,-0.783081,-0.062250
542.142298,415.692989,591.330076,6.038410,0.773923,0.042648,-0.736588,0.021465
