Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
63,486.986755,985.501587,910.248222,2.346911,0.680002,-1.279689,-0.996929,-0.700019,0.555044
64,484.472190,996.932979,910.050392,2.345642,0.680002,-1.278710,-0.995982,-0.700019,0.554930
65,482.557673,1008.973897,909.845613,2.346086,0.680002,-1.279053,-0.996314,-0.700019,0.554980
66,480.641230,1021.012528,909.640835,2.346524,0.680002,-1.279391,-0.996641,-0.700019,0.555030
67,478.304111,1032.625130,909.438062,2.345760,0.680002,-1.278801,-0.996069,-0.700019,0.554969
68,475.965236,1044.235156,909.235676,2.344989,0.680002,-1.278204,-0.995496,-0.700019,0.554909
69,473.760787,1055.979680,909.028187,2.344604,0.680002,-1.277907,-0.995210,-0.700019,0.554887
70,471.557435,1067.725591,908.820729,2.344223,0.680002,-1.277611,-0.994926,-0.700019,0.554867
71,469.466932,1079.589541,908.610963,2.344168,0.680002,-1.277566,-0.994886,-0.700019,0.554880
72,467.374544,1091.451527,908.400805,2.344107,0.680002,-1.277520,-0.994839,-0.700019,0.554893
73,465.043587,1103.066370,908.190886,2.343350,0.680002,-1.276934,-0.994276,-0.700019,0.554843
74,462.707713,1114.675543,907.980995,2.342578,0.680002,-1.276335,-0.993702,-0.700019,0.554793
75,460.639005,1126.556780,907.766010,2.342578,0.680002,-1.276335,-0.993702,-0.700019,0.554818
76,458.572572,1138.440567,907.551024,2.342585,0.680002,-1.276339,-0.993706,-0.700019,0.554844
77,456.129425,1149.939014,907.335942,2.341502,0.680002,-1.275502,-0.992902,-0.700019,0.554770
78,453.689929,1161.440455,907.121244,2.340429,0.680002,-1.274666,-0.992104,-0.700019,0.554699
79,451.728782,1173.438127,906.898594,2.340748,0.680002,-1.274915,-0.992340,-0.700019,0.554760
80,449.768787,1185.436575,906.676304,2.341070,0.680002,-1.275164,-0.992581,-0.700019,0.554823
81,447.416796,1197.025678,906.456160,2.340250,0.680002,-1.274528,-0.991970,-0.700019,0.554781
82,445.069016,1208.618529,906.236372,2.339441,0.680002,-1.273898,-0.991370,-0.700019,0.554741
83,443.002794,1220.502445,906.011429,2.339441,0.680002,-1.273898,-0.991370,-0.700019,0.554779
84,440.936572,1232.386361,905.786487,2.339441,0.680002,-1.273898,-0.991370,-0.700019,0.554819
85,438.630706,1244.022465,905.561402,2.338747,0.680002,-1.273358,-0.990852,-0.700019,0.554795
86,436.323286,1255.656404,905.336314,2.338047,0.680002,-1.272815,-0.990331,-0.700019,0.554772
87,434.129504,1267.408245,905.106317,2.337684,0.680002,-1.272532,-0.990061,-0.700019,0.554783
88,431.931562,1279.155274,904.876320,2.337308,0.680002,-1.272240,-0.989782,-0.700019,0.554794
89,429.840655,1291.016247,904.644088,2.337243,0.680002,-1.272188,-0.989735,-0.700019,0.554836
90,427.751384,1302.878917,904.411435,2.337184,0.680002,-1.272143,-0.989690,-0.700019,0.554881
91,425.409644,1314.473885,904.179139,2.336382,0.680002,-1.271517,-0.989095,-0.700019,0.554857
92,423.067819,1326.068650,903.946478,2.335581,0.680002,-1.270893,-0.988498,-0.700019,0.554835
93,421.044362,1337.994473,903.709037,2.335698,0.680002,-1.270985,-0.988586,-0.700019,0.554901
94,419.019679,1349.919194,903.471626,2.335811,0.680002,-1.271074,-0.988671,-0.700019,0.554969
95,416.655237,1361.495052,903.234180,2.334951,0.680002,-1.270403,-0.988032,-0.700019,0.554947
96,414.289765,1373.069114,902.996731,2.334086,0.680002,-1.269727,-0.987389,-0.700019,0.554926
97,412.101799,1384.821194,902.754265,2.333724,0.680002,-1.269443,-0.987119,-0.700019,0.554954
98,409.913045,1396.571960,902.511768,2.333359,0.680002,-1.269159,-0.986849,-0.700019,0.554983
99,407.849349,1408.456210,902.266832,2.333359,0.680002,-1.269159,-0.986849,-0.700019,0.555049
100,405.785653,1420.340459,902.021895,2.333359,0.680002,-1.269159,-0.986849,-0.700019,0.555116
101,446.818200,1473.038319,901.527707,2.450629,0.680002,-1.283463,-0.994691,-0.713687,0.558210
102,494.226042,1521.039340,901.287634,2.569609,0.680002,-1.297068,-1.005095,-0.728448,0.562341
103,487.545869,1550.852184,925.818653,2.574458,0.599767,-1.276704,-0.906746,-0.681217,0.542688
104,543.857443,1589.966887,921.188558,2.691188,0.615440,-1.273052,-0.923086,-0.717045,0.551730
105,528.173517,1624.513685,968.389347,2.676538,0.472159,-1.302338,-0.788159,-0.594761,0.526901
106,536.206207,1635.890656,965.093725,2.681017,0.484188,-1.207805,-0.711790,-0.675703,0.536886
107,532.811168,1653.705817,986.178939,2.670461,0.425533,-1.168083,-0.599668,-0.675703,0.540596
108,524.387774,1677.327931,1037.184607,2.655947,0.286079,-1.270432,-0.452555,-0.522601,0.537344
109,617.905162,1723.833060,1038.642642,2.819967,0.286079,-1.297042,-0.513633,-0.522601,0.540095
110,723.144392,1755.938008,1040.301519,2.994643,0.286079,-1.323741,-0.585719,-0.522601,0.544793
111,837.966317,1769.802743,1042.144067,3.180275,0.286079,-1.350252,-0.669134,-0.522601,0.551886
112,854.582333,1771.020914,1026.608896,3.190858,0.334435,-1.202157,-0.606719,-0.673369,0.565697
113,951.974833,1766.026422,1028.758876,3.345543,0.334435,-1.219072,-0.661942,-0.673369,0.571037
114,1047.453492,1746.609639,1031.029764,3.500732,0.334435,-1.233324,-0.718407,-0.673369,0.577421
115,1137.991142,1713.662412,1033.397745,3.654658,0.334435,-1.244433,-0.774365,-0.673369,0.584676
116,1204.263078,1681.440159,1035.723421,3.768255,0.334754,-1.228654,-0.794819,-0.689493,0.592447
117,672.219457,1713.122261,974.044273,2.721039,0.520083,-2.437028,0.663127,0.755691,0.616886
118,606.522534,1655.091255,956.909413,2.536253,0.581506,-2.266353,0.818145,0.660418,0.583452
119,575.048948,1620.966682,959.662392,2.428443,0.581506,-2.160029,0.890319,0.593151,0.566853
120,575.048948,1620.966682,959.662392,2.428443,0.581506,-2.160029,0.890319,0.593151,0.566853
121,594.427945,1615.862532,965.003493,2.412989,0.581506,-2.145898,0.901073,0.593151,0.567366
122,594.427945,1615.862532,965.003493,2.412989,0.581506,-2.145898,0.901073,0.593151,0.567366
123,613.980309,1603.435386,962.236723,2.388037,0.606474,-2.139475,0.931957,0.614136,0.573633
124,613.980309,1603.435386,962.236723,2.388037,0.606474,-2.139475,0.931957,0.614136,0.573633
125,633.641037,1605.453050,975.011225,2.382258,0.581506,-2.118410,0.922831,0.593151,0.568547
126,633.641037,1605.453050,975.011225,2.382258,0.581506,-2.118410,0.922831,0.593151,0.568547
127,653.227686,1599.913465,979.682640,2.366322,0.581506,-2.104546,0.934234,0.593151,0.569242
128,662.621901,1596.667322,981.935866,2.357145,0.581506,-2.096647,0.940863,0.593151,0.569672
129,672.746755,1594.081346,984.129114,2.349836,0.581506,-2.090363,0.946204,0.593151,0.570022
130,681.904927,1590.459988,986.272463,2.339795,0.581506,-2.081921,0.953479,0.593151,0.570529
131,719.114333,1558.377321,937.629364,2.326926,0.751054,-2.163098,1.051173,0.761761,0.626800
132,710.278267,1569.848637,967.497822,2.313809,0.655242,-2.102530,1.008639,0.665962,0.592126
133,719.992862,1566.532954,969.466250,2.304600,0.655242,-2.094680,1.014899,0.665962,0.592584
134,730.025049,1563.501393,971.379638,2.296221,0.655242,-2.087556,1.020647,0.665962,0.593014
