算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
GA,4.226,97.041,98.817,19.608,8.098,4.901,1.526,0.285,0.603,0.861,0.866,5,2,11
MOEAD,6.789,94.675,97.929,21.889,8.642,5.573,1.988,0.510,0.595,1.071,0.976,15,8,14
