Algorithm,AT(ms),SR150(%),JointLimitCost,VelocitySmoothness,SuccessPoints,TotalPoints,SuccessRate(%),TotalLimitApproaches,TotalVelocityViolations,M1,AvgVel1,MaxVel1,VelVar1,VelJerk1,TCL1,VelViolation1,M2,AvgVel2,MaxVel2,VelVar2,VelJerk2,TCL2,VelViolation2,M3,AvgVel3,MaxVel3,VelVar3,VelJerk3,TCL3,VelViolation3,M4,AvgVel4,MaxVel4,VelVar4,VelJerk4,TCL4,VelViolation4,M5,AvgVel5,MaxVel5,VelVar5,VelJerk5,TCL5,VelViolation5,M6,AvgVel6,MaxVel6,VelVar6,VelJerk6,TCL6,VelViolation6,M7,AvgVel7,MaxVel7,VelVar7,VelJerk7,TCL7,VelViolation7,M8,AvgVel8,MaxVel8,VelVar8,VelJerk8,TCL8,VelViolation8
GA,6.690233,100.000000,0.426679,34.649556,177,177,100.000000,5,2,17.487183,7.201356,9.999388,13.245248,0.696302,5,0,14.731587,3.405654,9.957463,18.075751,0.548150,0,0,10.302108,1.238430,9.302453,3.206203,0.950208,0,0,0.024184,0.023541,0.176887,0.002857,0.011052,0,0,0.016786,0.017039,0.289990,0.003412,0.027563,0,0,0.039327,0.070162,5.178377,0.204824,0.121607,0,1,0.026590,0.032770,2.956462,0.051220,0.056124,0,0,0.045863,0.089307,5.243381,0.203943,0.124088,0,1
ISGA,9.589039,100.000000,0.481248,33.359777,177,177,100.000000,0,0,16.779703,7.314866,9.999388,12.775951,0.647356,0,0,14.103978,3.403600,9.884137,17.857276,0.671357,0,0,8.990905,1.177370,9.001508,2.671377,0.713883,0,0,0.023140,0.023297,0.187579,0.003341,0.011712,0,0,0.013893,0.016315,0.298539,0.003489,0.023723,0,0,0.017583,0.056227,2.928882,0.101316,0.052822,0,0,0.014824,0.020603,0.420343,0.004608,0.020192,0,0,0.023143,0.075718,2.867841,0.094560,0.057551,0,0
DE,12.059288,98.305085,0.646349,36.978506,177,177,100.000000,15,0,17.223439,6.984954,9.999388,14.572895,0.644650,15,0,18.552065,3.500408,9.898324,18.678092,0.638561,0,0,12.313130,1.395490,9.821805,3.712740,0.877977,0,0,0.031252,0.019192,0.259134,0.002535,0.013466,0,0,0.024524,0.022991,0.277286,0.004326,0.027759,0,0,0.029954,0.027007,0.829332,0.012801,0.031967,0,0,0.038472,0.030145,0.667635,0.007822,0.038926,0,0,0.039357,0.046439,1.126810,0.014261,0.040269,0,0
MOEAD,5.223871,100.000000,0.549666,34.774038,177,177,100.000000,0,2,17.976356,7.219872,9.999388,13.410515,0.424555,0,0,14.511826,3.422600,9.898281,18.407514,0.493221,0,0,9.844860,1.124545,9.784721,2.914358,0.547583,0,0,0.023452,0.021195,0.197604,0.002581,0.007086,0,0,0.014454,0.012416,0.279770,0.002733,0.015302,0,0,0.020893,0.040640,3.346527,0.075839,0.062619,0,1,0.015864,0.016284,0.338590,0.003557,0.016243,0,0,0.028975,0.061059,3.307488,0.071309,0.066466,0,1
NSGA,5.511073,100.000000,0.467296,34.935712,177,177,100.000000,1,5,16.415690,7.163774,9.999388,13.785993,0.406334,1,0,13.018521,3.456104,9.884144,18.616384,0.539253,0,0,7.975773,1.118974,8.634638,2.354158,0.612366,0,0,0.022724,0.022386,0.167281,0.002711,0.011396,0,0,0.008451,0.012059,0.262557,0.002100,0.016306,0,0,0.046610,0.104386,4.921338,0.325982,0.160545,0,3,0.025650,0.045066,2.907017,0.065825,0.071601,0,0,0.052331,0.119454,4.807010,0.302589,0.158688,0,2
