Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
DE,38,5.157100,0.694994,1,826.288399,1.163666,1806.556876,1.428476,1146.209816,9.821805,3.055985,-0.010922,0.038555,-0.250526,2.513274,0.000000,0.042776,-0.272712,1.983079,0.015224
DE,39,5.508300,0.699577,1,901.377809,9.957371,1809.443679,0.382810,1152.444813,0.826803,3.163154,0.142113,0.028713,-0.013051,2.513274,0.000000,0.054474,0.015512,1.980752,-0.003086
DE,40,5.059900,0.699834,1,914.023965,9.762771,1809.532768,0.068776,1155.247808,2.163898,3.163155,0.000005,0.028713,0.000000,2.513274,0.000000,0.054474,0.000000,1.985094,0.033523
DE,41,5.572800,0.700089,1,926.703410,9.772016,1809.623019,0.069556,1158.000816,2.121736,3.163153,-0.000015,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000003,1.989401,0.033196
DE,42,5.616500,0.700350,1,939.395017,9.781111,1809.714186,0.070260,1160.698932,2.079372,3.163154,0.000009,0.028713,0.000000,2.513274,0.000000,0.054474,0.000004,1.993786,0.033793
DE,43,4.549300,0.700630,1,952.100686,9.790121,1809.806377,0.071036,1163.341867,2.036465,3.163153,-0.000004,0.028713,0.000000,2.513274,0.000000,0.054472,-0.000012,1.998470,0.036092
DE,44,4.826200,0.700876,1,964.817283,9.799542,1809.899572,0.071817,1165.925128,1.990688,3.163154,0.000008,0.028713,0.000000,2.513274,0.000000,0.054474,0.000011,2.002550,0.031436
DE,45,5.150300,0.701149,1,977.552660,9.807543,1809.993768,0.072541,1168.458297,1.950799,3.163153,-0.000007,0.028713,0.000000,2.513274,0.000000,0.054474,0.000001,2.007087,0.034942
DE,46,4.871500,0.701411,1,990.288937,9.816313,1810.088873,0.073301,1170.931491,1.906180,3.163154,0.000002,0.028713,0.000000,2.513274,0.000000,0.054474,0.000003,2.011394,0.033193
DE,47,4.560200,0.701677,1,1003.034734,9.824423,1810.184941,0.074049,1173.349626,1.863892,3.163153,-0.000005,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000003,2.015772,0.033752
DE,48,4.110400,0.701941,1,1015.796538,9.832512,1810.281996,0.074777,1175.712773,1.820720,3.163154,0.000005,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000004,2.020080,0.033189
DE,49,4.413500,0.702202,1,1028.567517,9.840225,1810.380012,0.075523,1178.021021,1.778538,3.163153,-0.000004,0.028713,0.000000,2.513274,0.000000,0.054473,0.000001,2.024322,0.032684
DE,50,5.941400,0.702499,1,1041.344651,9.847686,1810.478910,0.076223,1180.274262,1.736635,3.163154,0.000008,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000000,2.029138,0.037119
DE,51,5.444200,0.702735,1,1054.141084,9.855933,1810.578950,0.077052,1182.467581,1.689315,3.163154,-0.000000,0.028713,0.000000,2.513274,0.000000,0.054474,0.000003,2.032939,0.029272
DE,52,5.547900,0.703049,1,1066.937674,9.862245,1810.679758,0.077692,1184.610893,1.651835,3.163154,0.000001,0.028713,0.000000,2.513274,0.000000,0.054474,0.000002,2.038005,0.039044
DE,53,6.247000,0.703272,1,1079.743783,9.870525,1810.781682,0.078560,1186.689109,1.601820,3.163153,-0.000006,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000007,2.041551,0.027334
DE,54,4.820600,0.703589,1,1092.560523,9.876093,1810.884390,0.079143,1188.722484,1.566842,3.163154,0.000001,0.028713,0.000000,2.513274,0.000000,0.054474,0.000004,2.046619,0.039056
DE,55,5.473200,0.703860,1,1105.387768,9.883933,1810.988196,0.079987,1190.690834,1.516697,3.163154,0.000005,0.028713,0.000000,2.513274,0.000000,0.054474,0.000000,2.050924,0.033166
DE,56,4.639100,0.704106,1,1118.223971,9.890357,1811.092969,0.080728,1192.604196,1.474255,3.163153,-0.000007,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000001,2.054794,0.029822
DE,57,5.327900,0.704426,1,1131.066271,9.895968,1811.198549,0.081358,1194.467543,1.435850,3.163154,0.000004,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000003,2.059861,0.039044
DE,58,5.299400,0.704701,1,1143.918703,9.903125,1811.305229,0.082200,1196.265975,1.385737,3.163154,0.000005,0.028713,0.000000,2.513274,0.000000,0.054473,0.000002,2.064163,0.033150
DE,59,4.444700,0.704950,1,1156.780103,9.908985,1811.412877,0.082937,1198.009417,1.343224,3.163154,-0.000007,0.028713,0.000000,2.513274,0.000000,0.054474,0.000001,2.068032,0.029807
DE,60,4.503600,0.705267,1,1169.647965,9.914088,1811.521322,0.083552,1199.702925,1.304769,3.163155,0.000008,0.028713,0.000000,2.513274,0.000000,0.054474,0.000005,2.073001,0.038286
DE,61,6.356900,0.705503,1,1182.515262,9.920471,1811.630779,0.084389,1201.331399,1.255526,3.163155,0.000001,0.028713,0.000000,2.513274,0.000000,0.054474,0.000002,2.076632,0.027988
DE,62,5.287300,0.705824,1,1195.401053,9.924925,1811.741168,0.085024,1202.914698,1.219493,3.163152,-0.000018,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000014,2.081604,0.038296
DE,63,5.450100,0.706098,1,1208.289605,9.930890,1811.852507,0.085789,1204.433215,1.170048,3.163154,0.000013,0.028713,0.000000,2.513274,0.000000,0.054473,0.000002,2.085817,0.032463
DE,64,4.861000,0.706384,1,1221.176925,9.935709,1811.964714,0.086508,1205.896706,1.128304,3.163154,-0.000001,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000000,2.090197,0.033769
DE,65,5.094700,0.706681,1,1234.084205,9.940534,1812.077972,0.087226,1207.305353,1.084869,3.163154,-0.000001,0.028713,0.000000,2.513274,0.000000,0.054474,0.000008,2.094754,0.035100
DE,66,5.479900,0.706940,1,1246.986759,9.945396,1812.192102,0.087972,1208.653869,1.039448,3.163154,-0.000000,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000001,2.098665,0.030140
DE,67,5.440000,0.707245,1,1259.899041,9.949363,1812.307113,0.088620,1209.952352,1.000526,3.163153,-0.000004,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000005,2.103305,0.035759
DE,68,5.531200,0.707527,1,1272.817124,9.953903,1812.423086,0.089361,1211.190881,0.954336,3.163154,0.000004,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000003,2.107559,0.032778
DE,69,5.188600,0.707834,1,1285.740659,9.957851,1812.539947,0.090044,1212.374549,0.912040,3.163155,0.000009,0.028713,0.000000,2.513274,0.000000,0.054474,0.000006,2.112200,0.035758
DE,70,7.556400,0.708118,1,1298.667432,9.961975,1812.657815,0.090835,1213.498115,0.865873,3.163153,-0.000012,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000002,2.116455,0.032791
DE,71,6.236100,0.708428,1,1311.599976,9.965557,1812.776570,0.091510,1214.566693,0.823425,3.163153,-0.000004,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000002,2.121094,0.035747
DE,72,4.449200,0.708689,1,1324.537971,9.969289,1812.896297,0.092255,1215.575202,0.777100,3.163153,-0.000001,0.028713,0.000000,2.513274,0.000000,0.054472,-0.000008,2.124965,0.029827
DE,73,6.720900,0.709001,1,1337.481767,9.972186,1813.016826,0.092858,1216.533963,0.738650,3.163154,0.000009,0.028713,0.000000,2.513274,0.000000,0.054473,0.000009,2.129604,0.035741
DE,74,6.822500,0.709287,1,1350.430055,9.975513,1813.138341,0.093617,1217.432612,0.692330,3.163154,0.000001,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000000,2.133832,0.032570
DE,75,4.385400,0.709599,1,1363.378818,9.978329,1813.260693,0.094285,1218.276399,0.650223,3.163155,0.000007,0.028713,0.000000,2.513274,0.000000,0.054474,0.000010,2.138448,0.035574
DE,76,4.626700,0.709891,1,1376.326477,9.981232,1813.383993,0.095051,1219.059980,0.604056,3.163154,-0.000008,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000006,2.142722,0.032948
DE,77,4.435800,0.710180,1,1389.285336,9.983722,1813.508226,0.095711,1219.788571,0.561318,3.163154,0.000005,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000007,2.146956,0.032617
