Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,29,1.634400,0.546420,1,765.181207,-1.137715,1513.719806,8.537524,557.964382,5.080925,2.349618,-0.022059,0.266139,0.000000,-1.355384,0.000000,-0.840710,-0.000009,-0.340108,-0.000000
GA,30,1.708700,0.546897,1,755.937487,-2.734790,1545.760939,9.479491,552.452189,-1.630803,2.340964,-0.025605,0.266139,0.000000,-1.355384,0.000000,-0.840709,0.000005,-0.340109,-0.000002
GA,31,1.593300,0.547528,1,744.287772,-2.913855,1572.202034,6.613511,524.819227,-6.911623,2.333064,-0.019758,0.266139,0.000000,-1.355384,0.000000,-0.840711,-0.000005,-0.340109,-0.000001
GA,32,1.614900,0.548139,1,732.511162,-3.478985,1591.031036,5.562365,499.272355,-7.546923,2.324049,-0.026633,0.266139,0.000000,-1.355384,0.000000,-0.840711,-0.000000,-0.340108,0.000005
GA,33,1.550400,0.548490,1,723.949080,-5.414357,1604.251139,8.359925,497.864024,-0.890579,2.315027,-0.057054,0.266139,0.000000,-1.355384,0.000000,-0.840705,0.000036,-0.340108,-0.000005
GA,34,1.610400,0.548576,1,720.805563,-1.238525,1615.813407,4.555459,520.238729,8.815490,2.307085,-0.031288,0.266139,0.000000,-1.355384,0.000000,-0.840708,-0.000012,-0.340109,-0.000000
GA,35,1.633300,0.548690,1,722.361445,0.575213,1628.700792,4.764499,543.968936,8.773117,2.298130,-0.033109,0.266139,0.000000,-1.355384,0.000000,-0.840709,-0.000002,-0.340109,-0.000001
GA,36,1.635300,0.549031,1,727.395961,2.637878,1647.072808,9.626175,545.139688,0.613426,2.289435,-0.045555,0.266139,0.000000,-1.355384,0.000000,-0.840704,0.000023,-0.340108,0.000006
GA,37,1.665500,0.549650,1,733.091808,1.582276,1672.572160,7.083582,520.377285,-6.878862,2.281140,-0.023044,0.266139,0.000000,-1.355384,0.000000,-0.840707,-0.000009,-0.340108,-0.000001
GA,38,1.622300,0.550407,1,736.134012,0.694561,1703.901261,7.152700,489.919143,-6.953853,2.272449,-0.019843,0.266139,0.000000,-1.355384,0.000000,-0.840709,-0.000003,-0.340108,-0.000001
GA,39,1.613600,0.551035,1,734.510969,-0.449785,1738.265222,9.523092,479.029022,-3.017918,2.263709,-0.024221,0.266139,0.000000,-1.355384,0.000000,-0.840709,-0.000000,-0.340108,0.000000
GA,40,1.722000,0.551409,1,727.891359,-1.756786,1771.861489,8.916153,494.753658,4.173180,2.255409,-0.022028,0.266139,0.000000,-1.355384,0.000000,-0.840704,0.000012,-0.340109,-0.000001
GA,41,1.627400,0.551703,1,717.165004,-2.741192,1800.246493,7.253979,519.460045,6.313883,2.246309,-0.023255,0.266139,0.000000,-1.355384,0.000000,-0.840705,-0.000003,-0.340109,-0.000001
GA,42,1.668800,0.552090,1,705.514192,-4.486649,1822.183999,8.447986,527.031084,2.915556,2.237923,-0.032295,0.266139,0.000000,-1.355384,0.000000,-0.840711,-0.000022,-0.340109,0.000001
GA,43,1.566800,0.552673,1,695.683392,-3.632367,1837.359201,5.607062,506.892931,-7.440815,2.229226,-0.032134,0.266139,0.000000,-1.355384,0.000000,-0.840711,0.000002,-0.340109,-0.000002
GA,44,1.604800,0.553348,1,690.212351,-1.545040,1848.508033,3.148466,473.731845,-9.364797,2.220535,-0.024543,0.266139,0.000000,-1.355384,0.000000,-0.840709,0.000004,-0.340108,0.000003
GA,45,1.548100,0.553889,1,690.098885,-0.049956,1859.713619,4.933486,453.975582,-8.698094,2.212078,-0.037236,0.266139,0.000000,-1.355384,0.000000,-0.840707,0.000010,-0.340108,-0.000001
GA,46,1.608600,0.554191,1,694.271426,2.424020,1874.605724,8.651504,461.532410,4.390106,2.203329,-0.050823,0.266139,0.000000,-1.355384,0.000000,-0.840707,0.000000,-0.340108,0.000000
GA,47,1.565000,0.554390,1,700.515300,1.925249,1896.142541,6.640705,484.962647,7.224526,2.194941,-0.025865,0.266139,0.000000,-1.355384,0.000000,-0.840711,-0.000013,-0.340108,0.000000
GA,48,1.511100,0.554768,1,705.605085,1.614510,1924.378336,8.956562,498.026672,4.143987,2.186477,-0.026848,0.266139,0.000000,-1.355384,0.000000,-0.840710,0.000005,-0.340109,-0.000001
GA,49,1.580600,0.555480,1,706.697948,0.307657,1956.910714,9.158345,483.804773,-4.003675,2.177380,-0.025607,0.266139,0.000000,-1.355384,0.000000,-0.840705,0.000013,-0.340108,0.000003
GA,50,1.544200,0.556288,1,704.225167,-0.496816,1993.567763,7.364908,450.227181,-6.746203,2.173642,-0.007510,0.266139,0.000000,-1.355384,0.000000,-0.840709,-0.000008,-0.340108,-0.000002
