SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.296565,-1.28635,1.56344071,-0.710715,0.075881,0.074248,-0.695423
0.32375,-1.28635,1.564415406,-0.711046,0.072721,0.071156,-0.695746
0.350995,-1.28635,1.530748271,-0.711332,0.069862,0.068359,-0.696027
0.37828,-1.28635,1.488247084,-0.711633,0.066726,0.065291,-0.696321
0.405615,-1.28635,1.471078475,-0.711918,0.063613,0.062244,-0.6966
0.432985,-1.28635,1.490329477,-0.712181,0.060602,0.059298,-0.696857
0.460405,-1.28635,1.523808754,-0.712447,0.057381,0.056147,-0.697118
0.48786,-1.28635,1.536480023,-0.712672,0.054517,0.053344,-0.697338
0.51535,-1.28635,1.512633037,-0.712903,0.051418,0.050312,-0.697563
0.54288,-1.28635,1.470363726,-0.713112,0.048427,0.047385,-0.697768
0.57044,-1.28635,1.44492148,-0.713315,0.045342,0.044366,-0.697967
0.59803,-1.28635,1.456295615,-0.713506,0.042223,0.041314,-0.698154
0.625645,-1.28635,1.490852697,-0.713676,0.039248,0.038403,-0.69832
0.65329,-1.28635,1.51385565,-0.713846,0.036018,0.035243,-0.698487
0.68096,-1.28635,1.501416271,-0.71399,0.033055,0.032344,-0.698627
0.70865,-1.28635,1.462442526,-0.714126,0.029964,0.029319,-0.698761
0.73637,-1.28635,1.430469015,-0.714249,0.026872,0.026294,-0.698881
0.7641,-1.28635,1.432794606,-0.714359,0.023788,0.023277,-0.698988
0.79185,-1.28635,1.465425191,-0.714451,0.020832,0.020383,-0.699078
0.81961,-1.28635,1.496709644,-0.714534,0.017739,0.017357,-0.69916
0.847385,-1.28635,1.496450119,-0.714607,0.014519,0.014207,-0.699231
0.875175,-1.28635,1.463686621,-0.714661,0.011567,0.011318,-0.699284
0.902965,-1.28635,1.427548409,-0.714704,0.008481,0.008298,-0.699326
0.930765,-1.28635,1.420488092,-0.714734,0.005397,0.005281,-0.699355
0.95857,-1.28635,1.448450257,-0.714751,0.002313,0.002264,-0.699372
0.98637,-1.28635,1.485395636,-0.714754,-0.000771,-0.000754,-0.699375
1.01418,-1.28635,1.49724649,-0.714744,-0.003856,-0.003773,-0.699365
1.041985,-1.28635,1.473217526,-0.714721,-0.006939,-0.00679,-0.699342
1.069785,-1.28635,1.435731846,-0.714686,-0.009897,-0.009684,-0.699308
1.097575,-1.28635,1.419800247,-0.714634,-0.013107,-0.012825,-0.699258
1.125365,-1.28635,1.440842864,-0.714571,-0.016199,-0.01585,-0.699196
1.153135,-1.28635,1.480506562,-0.714501,-0.019022,-0.018612,-0.699128
1.1809,-1.28635,1.503523321,-0.714408,-0.022242,-0.021764,-0.699037
1.20865,-1.28635,1.490166703,-0.714301,-0.025463,-0.024915,-0.698931
1.23638,-1.28635,1.454367438,-0.714194,-0.0283,-0.027691,-0.698827
1.26409,-1.28635,1.430895175,-0.71406,-0.031498,-0.03082,-0.698696
1.291785,-1.28635,1.443427635,-0.713917,-0.0346,-0.033856,-0.698555
1.319455,-1.28635,1.482740214,-0.713767,-0.037562,-0.036754,-0.698409
1.3471,-1.28635,1.515217849,-0.713597,-0.040664,-0.039789,-0.698243
1.37472,-1.28635,1.513740147,-0.713412,-0.043782,-0.04284,-0.698062
1.40231,-1.28635,1.482631154,-0.713225,-0.046741,-0.045735,-0.697878
1.42987,-1.28635,1.453668442,-0.713005,-0.049986,-0.04891,-0.697663
1.4574,-1.28635,1.456882362,-0.712788,-0.052977,-0.051837,-0.697452
1.48489,-1.28635,1.492930871,-0.712551,-0.056076,-0.054869,-0.69722
1.51234,-1.28635,1.532500014,-0.712301,-0.059171,-0.057898,-0.696975
1.53976,-1.28635,1.543270445,-0.712045,-0.062182,-0.060844,-0.696724
1.567135,-1.28635,1.519595469,-0.711766,-0.065296,-0.063891,-0.696451
1.594465,-1.28635,1.487733803,-0.711485,-0.068282,-0.066813,-0.696177
1.62175,-1.28635,1.481676624,-0.71119,-0.071292,-0.069758,-0.695888
1.64899,-1.28635,1.511901638,-0.710859,-0.074524,-0.072921,-0.695563
1.676185,-1.28635,1.555765737,-0.710718,-0.075854,-0.074222,-0.695426
