x,y,z,rx,ry,rz
2329.96,-1549.97,-1689.91,2.11773,1.27036,-0.516326
1803.42,-1797.48,-1689.91,1.73625,0.364006,-0.0489123
1186.55,-1215.08,-1718.15,1.89002,-1.05822,0.290924
1885.16,-520.456,-1718.15,-1.73269,-0.30166,3.10357
