x,y,z,rx,ry,rz
1100.37,6.62414,-310.382,2.555361,0.514162,0.504394
1100.37,6.62414,-310.382,2.367233,0.594422,0.178852
1100.37,6.62414,-310.382,-1.060686,2.559471,2.960383
1100.37,6.62414,-310.382,-1.362336,2.69399,2.653413
1100.37,6.62414,-310.382,-1.624349,2.928541,2.46677
1100.37,6.62414,-310.382,-1.863432,-3.066088,2.414451
1100.37,6.62414,-310.382,-2.13462,-2.773798,2.507022
1100.37,6.62414,-310.382,-2.50917,-2.5455,2.7798
1100.37,6.62414,-310.382,0.140867,-0.661846,0.084228
