x,y,z,rx,ry,rz
-49.6165,-1040.37,-1762.66,1.72766,0.173077,-0.0140613
516.087,-874.158,-1762.66,1.88303,1.0461,-0.259256
-563.375,-646.927,-1762.66,1.79324,-0.798833,0.173844
-549.122,-54.9897,-1762.66,-2.42284,-1.36488,2.31331
