FX,FY,FZ,MX,MY,MZ
-0.604503,-2.59783,0.548036,-0.0476972,0.0501041,0.035564
-0.868984,-2.86151,-0.202521,-0.0539827,0.0503475,0.0495579
-0.755333,-2.77379,0.0119915,-0.0503234,0.0496798,0.0462422
-0.414034,-2.59834,0.54711,-0.0484737,0.0459524,0.0314089
