FX,FY,FZ,MX,MY,MZ
1.65507,-2.68208,1.68116,-0.0407687,0.0564794,0.0554947
1.57842,-2.65962,1.84219,-0.0440046,0.056451,0.0582663
1.617,-2.59387,1.81459,-0.044697,0.0533388,0.056295
1.65654,-2.63863,1.41238,-0.0442876,0.0535287,0.0589204
1.86585,-2.16708,1.89554,-0.0337521,0.0530401,0.0567395
