Algorithm,AverageTime(ms),SR150(%),OverallSuccessRate(%),AvgJointLimitCost,SuccessfulPoints,TotalPoints,TotalLimitApproaches,TotalVelocityViolations
GA,1.767376,100.000000,100.000000,0.514097,89,89,0,0

Algorithm,Joint,AvgMovement(rad),AvgVelocity,MaxVelocity,LimitApproaches,VelocityViolations
GA,Joint1,7.338350,1.795812,4.177534,0,0
GA,Joint2,12.847788,9.741206,9.859425,0,0
GA,Joint3,11.513978,0.246365,9.032663,0,0
GA,Joint4,0.022434,0.003854,0.176919,0,0
GA,Joint5,0.004565,0.000409,0.036362,0,0
GA,Joint6,0.014143,0.002807,0.111174,0,0
GA,Joint7,0.007051,0.002232,0.054630,0,0
GA,Joint8,0.005447,0.000487,0.043385,0,0
