Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,84,3.596700,0.547510,1,1850.832049,9.996227,1633.956660,0.101070,1093.855867,0.253293,3.905353,-0.000013,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000004,-0.548575,0.032643
GA,85,3.598300,0.546462,1,1863.806303,9.997211,1634.087858,0.101094,1094.129608,0.210929,3.905354,0.000004,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000002,-0.544337,0.032658
GA,86,3.967400,0.545322,1,1876.780113,9.997995,1634.220262,0.102034,1094.348364,0.168580,3.905353,-0.000003,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000001,-0.539711,0.035652
GA,87,3.943800,0.544389,1,1889.758861,9.998679,1634.353896,0.102950,1094.507013,0.122221,3.905352,-0.000008,0.377349,0.000000,-1.192685,0.000000,-0.851397,0.000016,-0.535861,0.029654
GA,88,3.773600,0.543169,1,1902.734739,9.999052,1634.486251,0.101991,1094.616059,0.084030,3.905356,0.000032,0.377349,0.000000,-1.192685,0.000000,-0.851402,-0.000031,-0.530851,0.038609
GA,89,4.109500,0.542249,1,1915.708854,9.999358,1634.621256,0.104050,1094.659863,0.033760,3.905356,-0.000002,0.377349,0.000000,-1.192685,0.000000,-0.851402,-0.000002,-0.526999,0.029689
GA,90,3.753400,0.541144,1,1928.686655,9.999377,1634.758388,0.105660,1094.653434,-0.004953,3.905352,-0.000028,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000027,-0.522377,0.035614
GA,91,3.789200,0.540047,1,1941.667013,9.999258,1634.894314,0.104708,1094.587280,-0.050961,3.905354,0.000015,0.377349,0.000000,-1.192685,0.000000,-0.851399,-0.000004,-0.517751,0.035638
GA,92,3.951400,0.539149,1,1954.640204,9.998912,1635.032888,0.106804,1094.461001,-0.097328,3.905352,-0.000021,0.377349,0.000000,-1.192685,0.000000,-0.851397,0.000010,-0.513897,0.029698
GA,93,3.919600,0.537976,1,1967.615202,9.998440,1635.170785,0.106263,1094.284877,-0.135720,3.905353,0.000008,0.377349,0.000000,-1.192685,0.000000,-0.851398,-0.000007,-0.508889,0.038594
GA,94,3.855800,0.537095,1,1980.589780,9.997654,1635.310049,0.107311,1094.043756,-0.185798,3.905353,0.000001,0.377349,0.000000,-1.192685,0.000000,-0.851399,-0.000007,-0.505039,0.029669
GA,95,3.809100,0.536032,1,1993.565579,9.996846,1635.449218,0.107219,1093.752667,-0.224262,3.905355,0.000018,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000010,-0.500406,0.035690
GA,96,3.878300,0.534981,1,2006.535177,9.995681,1635.590338,0.108761,1093.401450,-0.270683,3.905355,-0.000003,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000005,-0.495784,0.035619
GA,97,4.000300,0.534118,1,2019.505155,9.994341,1635.731991,0.109154,1092.990378,-0.316762,3.905355,0.000004,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000011,-0.491920,0.029781
GA,98,3.745800,0.533089,1,2032.469827,9.993010,1635.874787,0.110065,1092.529177,-0.355488,3.905355,-0.000004,0.377349,0.000000,-1.192685,0.000000,-0.851401,0.000004,-0.487314,0.035503
GA,99,2.207000,0.532148,1,2045.439428,9.991269,1636.018622,0.110805,1092.008026,-0.401474,3.905354,-0.000005,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000000,-0.483047,0.032865
GA,100,2.074500,0.531227,1,2058.398547,9.989448,1636.163798,0.111908,1091.431709,-0.444250,3.905352,-0.000017,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000019,-0.478832,0.032493
GA,101,2.039400,0.530214,1,2071.365120,9.987502,1636.307752,0.110881,1090.800720,-0.486020,3.905355,0.000025,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000018,-0.474174,0.035876
GA,102,2.011500,0.529225,1,2084.320097,9.985103,1636.453933,0.112670,1090.109566,-0.532710,3.905355,-0.000003,0.377349,0.000000,-1.192685,0.000000,-0.851401,0.000000,-0.469581,0.035401
GA,103,2.067900,0.528316,1,2097.279989,9.982545,1636.601316,0.113524,1089.358340,-0.578642,3.905354,-0.000008,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000010,-0.465303,0.032953
GA,104,1.886300,0.527422,1,2110.229984,9.979980,1636.749257,0.114012,1088.552233,-0.621231,3.905353,-0.000004,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000005,-0.461050,0.032779
GA,105,2.004000,0.526543,1,2123.175888,9.977247,1636.897407,0.114178,1087.691108,-0.663659,3.905354,0.000008,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000003,-0.456822,0.032582
GA,106,2.072700,0.525665,1,2136.120888,9.974328,1637.047230,0.115441,1086.774892,-0.705959,3.905353,-0.000009,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000009,-0.452567,0.032786
GA,107,1.978100,0.524714,1,2149.062916,9.971257,1637.196083,0.114685,1085.803953,-0.748066,3.905356,0.000026,0.377349,0.000000,-1.192685,0.000000,-0.851402,-0.000024,-0.447927,0.035746
GA,108,2.074000,0.523771,1,2161.997425,9.967616,1637.348149,0.117185,1084.772645,-0.794749,3.905354,-0.000021,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000020,-0.443288,0.035750
GA,109,2.053900,0.522922,1,2174.928927,9.963865,1637.499395,0.116536,1083.681579,-0.840678,3.905355,0.000013,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000009,-0.439033,0.032786
GA,110,3.766500,0.522162,1,2187.853801,9.960168,1637.652819,0.118232,1082.535388,-0.883278,3.905353,-0.000014,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000006,-0.435161,0.029840
GA,111,5.279900,0.521168,1,2200.774114,9.956635,1637.806788,0.118651,1081.339119,-0.921867,3.905352,-0.000011,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000015,-0.430138,0.038707
GA,112,6.275500,0.520426,1,2213.691377,9.951945,1637.960098,0.118116,1080.078054,-0.971572,3.905355,0.000021,0.377349,0.000000,-1.192685,0.000000,-0.851399,-0.000009,-0.426266,0.029831
GA,113,5.548900,0.519525,1,2226.601889,9.948053,1638.115478,0.119726,1078.766954,-1.010254,3.905354,-0.000006,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000005,-0.421588,0.036049
GA,114,5.704700,0.518729,1,2239.503550,9.943242,1638.270842,0.119738,1077.395895,-1.056668,3.905355,0.000011,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000011,-0.417375,0.032472
GA,115,4.550600,0.517924,1,2252.404520,9.938663,1638.427844,0.120952,1075.969651,-1.098751,3.905355,-0.000005,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000012,-0.413077,0.033110
GA,116,4.088900,0.516977,1,2265.294680,9.933813,1638.586133,0.121985,1074.488472,-1.141472,3.905353,-0.000016,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000003,-0.408013,0.039025
GA,117,3.968900,0.516361,1,2278.176297,9.927956,1638.744377,0.121960,1072.942245,-1.191688,3.905353,0.000003,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000008,-0.404570,0.026531
GA,118,3.905900,0.515434,1,2291.057878,9.923767,1638.903147,0.122314,1071.351209,-1.225709,3.905354,0.000006,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000014,-0.399504,0.039029
GA,119,4.393800,0.514741,1,2303.929956,9.917453,1639.062607,0.122858,1069.695092,-1.275976,3.905355,0.000010,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000005,-0.395584,0.030205
GA,120,4.632000,0.513992,1,2316.791290,9.912345,1639.223301,0.123849,1067.988977,-1.314918,3.905355,-0.000001,0.377349,0.000000,-1.192685,0.000000,-0.851402,-0.000006,-0.391332,0.032769
GA,121,4.157800,0.513098,1,2329.647704,9.906615,1639.385011,0.124606,1066.227684,-1.357179,3.905354,-0.000005,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000015,-0.386265,0.039040
GA,122,4.162700,0.512431,1,2342.495093,9.899675,1639.546723,0.124609,1064.401579,-1.407122,3.905356,0.000012,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000009,-0.382341,0.030238
GA,123,3.580600,0.511710,1,2355.330253,9.893979,1639.711074,0.126690,1062.525216,-1.446394,3.905352,-0.000027,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000021,-0.378092,0.032758
GA,124,3.861300,0.510861,1,2368.162954,9.887813,1639.874050,0.125576,1060.594155,-1.487915,3.905355,0.000016,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000015,-0.373085,0.038577
GA,125,3.818800,0.510287,1,2380.988935,9.880200,1640.039483,0.127438,1058.597932,-1.537745,3.905353,-0.000014,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000005,-0.369539,0.027316
GA,126,4.130400,0.509438,1,2393.806563,9.874702,1640.204170,0.126874,1056.556847,-1.572452,3.905354,0.000013,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000013,-0.364411,0.039504
GA,127,4.515700,0.508812,1,2406.608011,9.866461,1640.370927,0.128525,1054.450499,-1.623426,3.905353,-0.000012,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000016,-0.360482,0.030286
GA,128,3.655000,0.508085,1,2419.399800,9.860007,1640.538026,0.128801,1052.294242,-1.662059,3.905352,-0.000005,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000005,-0.355926,0.035114
GA,129,4.692300,0.507454,1,2432.192711,9.852389,1640.705104,0.128674,1050.078140,-1.706719,3.905354,0.000013,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000013,-0.351864,0.031288
GA,130,5.744000,0.506660,1,2444.965017,9.845302,1640.873397,0.129725,1047.811882,-1.746904,3.905354,0.000000,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000003,-0.346797,0.039054
GA,131,4.240900,0.506157,1,2457.727631,9.836369,1641.042378,0.130237,1045.480651,-1.796720,3.905355,0.000005,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000001,-0.343389,0.026268
GA,132,3.881500,0.505424,1,2470.489794,9.830143,1641.212314,0.130894,1043.104510,-1.830239,3.905354,-0.000001,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000011,-0.338558,0.037213
GA,133,3.939800,0.504726,1,2483.231594,9.821130,1641.383603,0.132026,1040.668093,-1.877943,3.905353,-0.000014,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000019,-0.333873,0.036108
GA,134,3.574100,0.504101,1,2495.964472,9.812298,1641.554678,0.131835,1038.171915,-1.923622,3.905354,0.000007,0.377349,0.000000,-1.192685,0.000000,-0.851400,-0.000010,-0.329565,0.033197
