Time,Position,Force,Desired_Force,Velocity
1.040000,-0.174908,0.000000,5.000000,-0.229680
1.050000,-0.177203,0.000000,5.000000,-0.229205
1.060000,-0.179492,0.000000,5.000000,-0.228735
1.070000,-0.181777,0.000000,5.000000,-0.228274
1.080000,-0.184057,0.000000,5.000000,-0.227821
1.090000,-0.186333,0.000000,5.000000,-0.227378
1.100000,-0.188604,0.000000,5.000000,-0.226947
1.110000,-0.190871,0.000000,5.000000,-0.226529
1.120000,-0.193135,0.000000,5.000000,-0.226123
1.130000,-0.195394,0.000000,5.000000,-0.225732
1.140000,-0.197649,0.000000,5.000000,-0.225354
1.150000,-0.199900,0.000000,5.000000,-0.224990
1.160000,-0.202148,0.000000,5.000000,-0.224640
1.170000,-0.204393,0.000000,5.000000,-0.224304
1.180000,-0.206634,0.000000,5.000000,-0.223981
1.190000,-0.208872,0.000000,5.000000,-0.223672
1.200000,-0.211107,0.000000,5.000000,-0.223376
1.210000,-0.213339,0.000000,5.000000,-0.223092
1.220000,-0.215569,0.000000,5.000000,-0.222820
1.230000,-0.217796,0.000000,5.000000,-0.222559
1.240000,-0.220020,0.000000,5.000000,-0.222309
1.250000,-0.222242,0.000000,5.000000,-0.222068
1.260000,-0.224461,0.000000,5.000000,-0.221836
1.270000,-0.226678,0.000000,5.000000,-0.221613
1.280000,-0.228893,0.000000,5.000000,-0.221397
1.290000,-0.231106,0.000000,5.000000,-0.221187
1.300000,-0.233317,0.000000,5.000000,-0.220984
1.310000,-0.235525,0.000000,5.000000,-0.220786
1.320000,-0.237732,0.000000,5.000000,-0.220592
1.330000,-0.239937,0.000000,5.000000,-0.220403
1.340000,-0.242140,0.000000,5.000000,-0.220216
1.350000,-0.244341,0.000000,5.000000,-0.220032
1.360000,-0.246541,0.000000,5.000000,-0.219851
1.370000,-0.248738,0.000000,5.000000,-0.219670
1.380000,-0.250934,0.000000,5.000000,-0.219491
1.390000,-0.253128,0.000000,5.000000,-0.219312
1.400000,-0.255320,0.000000,5.000000,-0.219133
1.410000,-0.257510,0.000000,5.000000,-0.218954
1.420000,-0.259699,0.000000,5.000000,-0.218774
1.430000,-0.261885,0.000000,5.000000,-0.218594
1.440000,-0.264070,0.000000,5.000000,-0.218412
1.450000,-0.266254,0.000000,5.000000,-0.218229
1.460000,-0.268435,0.000000,5.000000,-0.218044
1.470000,-0.270614,0.000000,5.000000,-0.217858
1.480000,-0.272792,0.000000,5.000000,-0.217669
1.490000,-0.274967,0.000000,5.000000,-0.217479
1.500000,-0.277141,0.000000,5.000000,-0.217287
1.510000,-0.279313,0.000000,5.000000,-0.217093
1.520000,-0.281483,0.000000,5.000000,-0.216896
1.530000,-0.283651,0.000000,5.000000,-0.216698
