x,y,z,qx,qy,qz,qw
885.858375,-927.314569,-1461.165269,0.757267,0.059303,0.063021,0.647347
897.742291,-925.248347,-1460.940326,0.757267,0.059303,0.063021,0.647347
909.626207,-923.182125,-1460.715384,0.757267,0.059303,0.063021,0.647347
921.510123,-921.115903,-1460.490442,0.757273,0.059231,0.063082,0.647341
933.394039,-919.049681,-1460.265499,0.757279,0.059159,0.063144,0.647335
945.275506,-916.980992,-1460.035515,0.757282,0.059121,0.063176,0.647332
957.156973,-914.912303,-1459.805531,0.757285,0.059083,0.063209,0.647328
969.040978,-912.843591,-1459.573086,0.757285,0.059076,0.063215,0.647328
980.924984,-910.774879,-1459.340641,0.757286,0.059070,0.063220,0.647327
992.806515,-908.708693,-1459.108161,0.757292,0.058987,0.063291,0.647320
1004.688047,-906.642507,-1458.875681,0.757299,0.058903,0.063362,0.647313
1016.572181,-904.578801,-1458.638244,0.757298,0.058916,0.063352,0.647314
1028.456316,-902.515095,-1458.400807,0.757297,0.058928,0.063342,0.647315
1040.340398,-900.446389,-1458.163362,0.757304,0.058838,0.063419,0.647308
1052.224480,-898.377684,-1457.925918,0.757311,0.058748,0.063496,0.647300
1064.106192,-896.314011,-1457.683442,0.757314,0.058709,0.063528,0.647297
1075.987903,-894.250337,-1457.440967,0.757317,0.058671,0.063561,0.647294
1087.872153,-892.186641,-1457.196031,0.757317,0.058671,0.063561,0.647294
1099.756402,-890.122945,-1456.951094,0.757317,0.058671,0.063561,0.647294
1099.756497,-890.127654,-1456.948160,0.760364,0.026870,0.023715,0.648508
1099.756591,-890.132364,-1456.945226,0.761426,-0.005000,-0.016194,0.648030
1099.756685,-890.137073,-1456.942292,0.760502,-0.036858,-0.056060,0.645861
1099.756780,-890.141782,-1456.939358,0.757592,-0.068619,-0.095780,0.642006
1099.756874,-890.146492,-1456.936424,0.752706,-0.100202,-0.135249,0.636475
1099.756968,-890.151201,-1456.933490,0.745855,-0.131523,-0.174366,0.629284
1099.757063,-890.155911,-1456.930556,0.737058,-0.162500,-0.213028,0.620450
1099.757157,-890.160620,-1456.927622,0.726337,-0.193054,-0.251134,0.609997
1099.757251,-890.165330,-1456.924688,0.713721,-0.223103,-0.288585,0.597952
1099.757346,-890.170039,-1456.921754,0.699242,-0.252571,-0.325282,0.584347
1099.757440,-890.174748,-1456.918820,0.682938,-0.281379,-0.361130,0.569216
1099.757534,-890.179458,-1456.915886,0.664851,-0.309453,-0.396036,0.552600
1099.757628,-890.184167,-1456.912952,0.645030,-0.336719,-0.429909,0.534542
1099.757723,-890.188877,-1456.910018,0.623525,-0.363107,-0.462659,0.515089
1099.757817,-890.193586,-1456.907084,0.600393,-0.388547,-0.494202,0.494291
1099.757911,-890.198295,-1456.904150,0.575694,-0.412973,-0.524455,0.472204
1099.758006,-890.203005,-1456.901216,0.549493,-0.436321,-0.553340,0.448884
1099.847102,-902.848717,-1459.704206,-0.548544,0.437513,0.552364,-0.450084
1099.937331,-915.529492,-1462.457252,-0.547601,0.438693,0.551393,-0.451273
1100.028511,-928.220337,-1465.155319,-0.546638,0.439893,0.550403,-0.452481
1100.120693,-940.926252,-1467.798414,-0.545606,0.441172,0.549341,-0.453768
1100.213902,-953.642243,-1470.381531,-0.544705,0.442284,0.548415,-0.454888
1100.308088,-966.378298,-1472.914683,-0.543700,0.443518,0.547381,-0.456131
1100.403197,-979.114430,-1475.387842,-0.542744,0.444688,0.546398,-0.457309
1100.499257,-991.860633,-1477.806023,-0.541769,0.445875,0.545395,-0.458504
1100.596318,-1004.621905,-1480.169231,-0.540807,0.447041,0.544406,-0.459677
1100.694329,-1017.393248,-1482.477460,-0.539858,0.448187,0.543430,-0.460831
1100.793238,-1030.169661,-1484.730704,-0.538777,0.449486,0.542319,-0.462138
1100.893279,-1042.966151,-1486.923983,-0.537922,0.450509,0.541440,-0.463168
1100.994088,-1055.762705,-1489.067268,-0.536779,0.451870,0.540265,-0.464538
1101.096001,-1068.569342,-1491.145576,-0.535977,0.452821,0.539440,-0.465495
1101.198711,-1081.386036,-1493.178903,-0.534828,0.454178,0.538259,-0.466861
1101.302524,-1094.212814,-1495.147253,-0.533849,0.455328,0.537253,-0.468018
1101.407287,-1107.049661,-1497.060623,-0.532967,0.456360,0.536346,-0.469057
1101.512872,-1119.891573,-1498.924007,-0.531809,0.457709,0.535156,-0.470414
1101.619560,-1132.743569,-1500.722413,-0.530823,0.458852,0.534143,-0.471564
1101.727198,-1145.605634,-1502.465840,-0.529935,0.459878,0.533230,-0.472597
1101.835657,-1158.472763,-1504.159280,-0.528790,0.461193,0.532054,-0.473920
1101.945116,-1171.339977,-1505.787728,-0.527952,0.462152,0.531193,-0.474885
1102.055475,-1184.227247,-1507.371211,-0.526802,0.463463,0.530010,-0.476204
1102.166834,-1197.114600,-1508.889701,-0.525824,0.464572,0.529006,-0.477319
1102.279039,-1210.002025,-1510.353197,-0.524806,0.465723,0.527960,-0.478477
1102.392298,-1222.909519,-1511.761730,-0.523743,0.466917,0.526868,-0.479679
1102.506427,-1235.812091,-1513.110262,-0.522829,0.467940,0.525929,-0.480708
1102.621430,-1248.724727,-1514.408814,-0.521742,0.469152,0.524812,-0.481927
1102.737407,-1261.642440,-1515.647381,-0.520743,0.470261,0.523786,-0.483042
1102.854283,-1274.565223,-1516.830962,-0.519650,0.471468,0.522664,-0.484256
1102.972133,-1287.493083,-1517.954557,-0.518646,0.472572,0.521632,-0.485367
1103.090881,-1300.426014,-1519.023165,-0.517549,0.473774,0.520505,-0.486576
1103.210604,-1313.364022,-1520.031789,-0.516631,0.474775,0.519562,-0.487582
1103.331148,-1326.307094,-1520.990425,-0.515528,0.475972,0.518430,-0.488786
1103.452666,-1339.255243,-1521.889076,-0.514521,0.477061,0.517396,-0.489881
1103.575031,-1352.203462,-1522.732733,-0.513418,0.478247,0.516264,-0.491074
1103.698318,-1365.151759,-1523.516398,-0.512395,0.479343,0.515213,-0.492176
1103.822555,-1378.110127,-1524.245083,-0.511379,0.480427,0.514170,-0.493265
1103.947638,-1391.068565,-1524.918775,-0.510264,0.481611,0.513025,-0.494456
1104.073696,-1404.032080,-1525.532482,-0.509243,0.482690,0.511977,-0.495541
1104.200599,-1416.995666,-1526.091195,-0.508123,0.483869,0.510827,-0.496726
1104.328477,-1429.964329,-1526.589922,-0.507191,0.484846,0.509870,-0.497709
1104.457124,-1442.933056,-1527.038655,-0.506069,0.486017,0.508719,-0.498886
1104.586694,-1455.901861,-1527.427396,-0.504942,0.487188,0.507562,-0.500063
1104.717239,-1468.875742,-1527.756151,0.503909,-0.488256,-0.506501,0.501137
1104.848629,-1481.849695,-1528.029912,0.502873,-0.489323,-0.505438,0.502209
1104.980865,-1494.823718,-1528.248680,0.501740,-0.490485,-0.504275,0.503377
1105.114076,-1507.802818,-1528.407462,0.500795,-0.491450,-0.503305,0.504346
1105.248004,-1520.776983,-1528.516243,0.499562,-0.492703,-0.502041,0.505606
1105.382931,-1533.751232,-1528.560032,0.498612,-0.493664,-0.501066,0.506572
1105.518679,-1546.730544,-1528.553834,0.497470,-0.494815,-0.499893,0.507728
1105.655350,-1559.709934,-1528.487643,0.496324,-0.495965,-0.498718,0.508883
1105.792891,-1572.684402,-1528.361452,0.495368,-0.496920,-0.497736,0.509843
1105.931202,-1585.658934,-1528.185267,0.494122,-0.498159,-0.496458,0.511088
1106.070511,-1598.633549,-1527.944090,0.493162,-0.499109,-0.495473,0.512043
1106.210590,-1611.608230,-1527.652919,0.492004,-0.500250,-0.494286,0.513189
1106.351539,-1624.577987,-1527.301747,0.490847,-0.501386,-0.493099,0.514330
1106.493411,-1637.547822,-1526.890583,0.489877,-0.502333,-0.492104,0.515282
1106.635999,-1650.512721,-1526.429417,0.488719,-0.503460,-0.490916,0.516414
1106.779563,-1663.482698,-1525.908266,0.487644,-0.504501,-0.489813,0.517460
1106.923868,-1676.442746,-1525.332107,0.486580,-0.505528,-0.488721,0.518491
1107.069070,-1689.407864,-1524.700962,0.485401,-0.506660,-0.487513,0.519628
1107.215091,-1702.363061,-1524.009809,0.484236,-0.507773,-0.486318,0.520746
1107.362087,-1715.323334,-1523.258671,0.483149,-0.508808,-0.485203,0.521785
1107.509825,-1728.273679,-1522.452525,0.482066,-0.509834,-0.484092,0.522816
1107.658356,-1741.219094,-1521.591378,0.480987,-0.510852,-0.482986,0.523838
1107.807732,-1754.164581,-1520.675237,0.479899,-0.511874,-0.481870,0.524864
1107.957903,-1767.105139,-1519.704096,0.478710,-0.512986,-0.480652,0.525981
1108.108944,-1780.040774,-1518.672955,0.477519,-0.514095,-0.479430,0.527094
1108.260855,-1792.971487,-1517.581814,0.476424,-0.515110,-0.478308,0.528113
1108.413560,-1805.897271,-1516.435672,0.475426,-0.516031,-0.477284,0.529038
1108.566982,-1818.818119,-1515.239529,0.474129,-0.517224,-0.475954,0.530235
1108.721351,-1831.734052,-1513.978386,0.473126,-0.518141,-0.474927,0.531155
1108.876437,-1844.645049,-1512.667242,0.471913,-0.519246,-0.473683,0.532265
1109.032341,-1857.546124,-1511.296091,0.470818,-0.520239,-0.472561,0.533262
1109.189091,-1870.447270,-1509.869946,0.469699,-0.521250,-0.471414,0.534276
1109.346583,-1883.338487,-1508.388793,0.468378,-0.522437,-0.470059,0.535468
1109.504969,-1896.219789,-1506.842634,0.467478,-0.523243,-0.469137,0.536276
1109.664048,-1909.101148,-1505.251480,0.466151,-0.524425,-0.467777,0.537463
1109.824022,-1921.972592,-1503.595319,0.465122,-0.525338,-0.466723,0.538379
1109.984660,-1934.834101,-1501.889149,0.464004,-0.526325,-0.465577,0.539370
1110.146093,-1947.690681,-1500.127979,0.462669,-0.527499,-0.464209,0.540547
1110.308420,-1960.537345,-1498.301802,0.461633,-0.528406,-0.463148,0.541457
1110.471412,-1973.374074,-1496.425617,0.460510,-0.529386,-0.461996,0.542440
1110.635198,-1986.205874,-1494.494431,0.459183,-0.530537,-0.460637,0.543595
1110.799931,-1999.032758,-1492.498246,0.458242,-0.531350,-0.459672,0.544411
1110.965252,-2011.849701,-1490.457051,0.456878,-0.532523,-0.458275,0.545588
1111.131415,-2024.651728,-1488.350842,0.455831,-0.533420,-0.457202,0.546487
1111.298244,-2037.443820,-1486.194625,0.454615,-0.534457,-0.455956,0.547527
1111.465995,-2050.235989,-1483.978415,0.453528,-0.535379,-0.454843,0.548452
1111.634306,-2063.008224,-1481.712182,0.452170,-0.536526,-0.453452,0.549602
1111.803513,-2075.770543,-1479.380942,0.451255,-0.537296,-0.452515,0.550374
1111.973412,-2088.532920,-1477.004708,0.449956,-0.538384,-0.451184,0.551466
1112.144024,-2101.275376,-1474.568451,0.448694,-0.539437,-0.449891,0.552521
1112.315456,-2114.007909,-1472.072188,0.447531,-0.540402,-0.448700,0.553489
1112.487628,-2126.730514,-1469.520916,0.446366,-0.541365,-0.447507,0.554454
1112.660542,-2139.443190,-1466.914637,0.445302,-0.542240,-0.446417,0.555332
1112.834121,-2152.145931,-1464.258349,0.444009,-0.543299,-0.445093,0.556393
1113.008466,-2164.833750,-1461.542046,0.442726,-0.544346,-0.443779,0.557442
1113.183291,-2177.486642,-1458.770699,0.442726,-0.544346,-0.443779,0.557442
1113.183294,-2177.494282,-1458.775710,0.419615,-0.570752,-0.467441,0.528833
1113.183297,-2177.501922,-1458.780720,0.395409,-0.595670,-0.489883,0.498843
1113.183300,-2177.509563,-1458.785731,0.370171,-0.619032,-0.511046,0.467551
1113.183303,-2177.517203,-1458.790741,0.343967,-0.640779,-0.530875,0.435040
1113.183306,-2177.524843,-1458.795752,0.316865,-0.660854,-0.549320,0.401393
1113.183308,-2177.532483,-1458.800762,0.288937,-0.679204,-0.566330,0.366698
1113.183311,-2177.540123,-1458.805773,0.260254,-0.695782,-0.581862,0.331046
1113.183314,-2177.547764,-1458.810783,0.230892,-0.710544,-0.595876,0.294531
1113.183317,-2177.555404,-1458.815794,0.200927,-0.723451,-0.608335,0.257246
1113.183320,-2177.563044,-1458.820804,0.170439,-0.734470,-0.619206,0.219290
1113.183323,-2177.570684,-1458.825815,0.139505,-0.743572,-0.628461,0.180762
1113.183326,-2177.578324,-1458.830825,0.108207,-0.750734,-0.636076,0.141763
1113.183328,-2177.585965,-1458.835836,0.076627,-0.755937,-0.642031,0.102393
1113.183331,-2177.593605,-1458.840846,0.044847,-0.759166,-0.646310,0.062756
1113.183334,-2177.601245,-1458.845857,0.012949,-0.760415,-0.648903,0.022955
1113.183337,-2177.608885,-1458.850867,-0.018982,-0.759678,-0.649802,-0.016905
1113.183340,-2177.616525,-1458.855878,-0.050863,-0.756960,-0.649005,-0.056722
1101.258627,-2175.800437,-1459.095195,0.050914,0.756956,0.649009,0.056678
1089.333914,-2173.984348,-1459.334512,0.050965,0.756953,0.649013,0.056635
1077.409188,-2172.163263,-1459.571322,0.051030,0.756948,0.649018,0.056579
1065.484462,-2170.342177,-1459.808132,0.051095,0.756944,0.649022,0.056523
1053.562364,-2168.526072,-1460.039988,0.051101,0.756944,0.649023,0.056518
1041.640266,-2166.709967,-1460.271844,0.051108,0.756943,0.649023,0.056512
1029.715642,-2164.891388,-1460.503659,0.051185,0.756938,0.649029,0.056446
1017.791019,-2163.072809,-1460.735473,0.051263,0.756933,0.649035,0.056379
1005.866472,-2161.254237,-1460.962288,0.051263,0.756933,0.649035,0.056379
993.941926,-2159.435664,-1461.189102,0.051263,0.756933,0.649035,0.056379
982.017379,-2157.617092,-1461.415917,0.051346,0.756927,0.649041,0.056308
970.092832,-2155.798519,-1461.642732,0.051429,0.756921,0.649047,0.056237
958.170836,-2153.977427,-1461.864582,0.051429,0.756921,0.649047,0.056236
946.248840,-2152.156335,-1462.086433,0.051430,0.756921,0.649047,0.056236
934.324344,-2150.335269,-1462.308245,0.051462,0.756919,0.649050,0.056208
922.399848,-2148.514203,-1462.530056,0.051495,0.756917,0.649052,0.056180
910.475417,-2146.695641,-1462.749372,0.051579,0.756911,0.649058,0.056108
898.550986,-2144.877078,-1462.968688,0.051662,0.756906,0.649065,0.056037
886.626605,-2143.056022,-1463.183001,0.051623,0.756908,0.649062,0.056070
874.702225,-2141.234965,-1463.397313,0.051585,0.756911,0.649059,0.056103
862.777806,-2139.413906,-1463.614126,0.051701,0.756903,0.649068,0.056004
850.853387,-2137.592846,-1463.830938,0.051817,0.756895,0.649076,0.055904
838.931583,-2135.771770,-1464.040290,0.051856,0.756892,0.649079,0.055871
827.009779,-2133.950694,-1464.249642,0.051895,0.756890,0.649082,0.055837
815.085514,-2132.129648,-1464.456455,0.051901,0.756889,0.649082,0.055832
803.161249,-2130.308601,-1464.663269,0.051907,0.756889,0.649083,0.055827
791.236958,-2128.485055,-1464.870079,0.051945,0.756886,0.649086,0.055794
779.312667,-2126.661508,-1465.076889,0.051984,0.756883,0.649088,0.055761
767.388414,-2124.837965,-1465.281199,0.052023,0.756881,0.649091,0.055727
755.464161,-2123.014422,-1465.485509,0.052062,0.756878,0.649094,0.055694
743.539947,-2121.190882,-1465.687320,0.052139,0.756873,0.649100,0.055628
731.615732,-2119.367342,-1465.889131,0.052216,0.756867,0.649106,0.055562
719.694095,-2117.543782,-1466.085980,0.052216,0.756867,0.649106,0.055561
707.772457,-2115.720222,-1466.282830,0.052217,0.756867,0.649106,0.055561
695.848319,-2113.896689,-1466.479641,0.052294,0.756862,0.649111,0.055495
683.924182,-2112.073155,-1466.676452,0.052372,0.756857,0.649117,0.055428
672.000121,-2110.249628,-1466.868264,0.052372,0.756857,0.649117,0.055428
660.076061,-2108.426101,-1467.060076,0.052372,0.756857,0.649117,0.055428
