x,y,z,qx,qy,qz,qw
1.762160,-2.371475,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.758990,-2.394435,1.737140,-0.579389,0.664898,0.355399,-0.309694
1.755820,-2.417390,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.752650,-2.440350,1.737140,-0.579389,0.664898,0.355399,-0.309694
1.749480,-2.463305,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.746310,-2.486265,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.743140,-2.509225,1.737140,-0.579355,0.664928,0.355383,-0.309712
1.739965,-2.532185,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.736795,-2.555145,1.737140,-0.579389,0.664898,0.355399,-0.309694
1.733625,-2.578100,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.730455,-2.601060,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.727285,-2.624020,1.737140,-0.579389,0.664898,0.355399,-0.309694
1.724115,-2.646975,1.737140,-0.579355,0.664928,0.355383,-0.309712
1.720940,-2.669935,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.717770,-2.692895,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.714600,-2.715855,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.711430,-2.738815,1.737140,-0.579389,0.664898,0.355399,-0.309694
1.708260,-2.761770,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.705090,-2.784730,1.737140,-0.579389,0.664898,0.355399,-0.309694
1.701920,-2.807685,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.698750,-2.830645,1.737140,-0.579394,0.664894,0.355402,-0.309691
1.698755,-2.830645,1.737145,-0.159562,0.628804,0.719354,0.248346
1.667665,-2.826355,1.716575,-0.155935,0.629714,0.720773,0.244195
1.636350,-2.822030,1.696380,-0.152326,0.630596,0.722160,0.240064
1.604800,-2.817670,1.676550,-0.148774,0.631444,0.723499,0.235995
1.573030,-2.813285,1.657085,-0.145075,0.632304,0.724869,0.231755
1.541030,-2.808865,1.638000,-0.141522,0.633108,0.726159,0.227681
1.508820,-2.804420,1.619285,-0.137880,0.633912,0.727456,0.223502
