算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
GA,3.767,98.225,99.112,20.519,8.440,5.779,1.518,0.643,0.869,0.876,1.463,23,4,25
ISGA,6.038,97.337,97.337,21.450,9.481,5.436,1.624,0.519,2.019,0.993,1.169,16,7,17
MOEAD,4.543,96.746,97.929,19.999,8.374,5.421,1.495,0.465,0.827,0.964,1.022,24,4,13
NSGA,7.054,94.970,96.746,23.006,8.173,8.806,1.811,1.289,1.092,0.955,1.846,90,9,36
GA,5.008,98.225,98.225,20.317,8.341,5.269,1.589,0.534,0.987,0.940,1.368,34,4,29
ISGA,3.399,97.633,99.112,21.792,9.717,6.614,1.605,0.873,1.999,1.087,1.515,19,5,39
MOEAD,5.824,97.929,97.929,23.314,9.594,8.583,1.780,1.269,0.943,1.447,1.466,74,11,38
NSGA,9.831,93.195,94.083,28.830,12.010,7.006,2.993,0.966,1.343,2.438,2.191,23,10,28
GA,4.343,98.225,98.521,21.125,9.567,5.832,1.739,0.781,1.071,1.017,1.296,73,8,52
ISGA,10.986,93.195,94.083,22.495,11.373,7.913,2.089,1.066,3.561,3.217,3.791,45,15,40
MOEAD,5.216,93.491,97.633,20.173,8.923,5.225,1.467,0.440,1.550,0.911,1.217,37,4,18
NSGA,9.056,93.195,94.970,22.857,10.184,6.046,2.391,0.657,1.265,1.687,1.909,23,6,23
GA,4.907,97.633,98.521,22.731,9.743,6.624,1.707,0.916,2.136,2.006,2.816,73,8,42
ISGA,5.431,95.266,96.746,21.124,10.616,5.887,1.629,0.843,2.476,1.974,2.544,50,12,53
MOEAD,4.224,97.633,97.633,20.657,8.478,5.763,1.543,0.558,1.289,1.271,1.711,129,6,15
NSGA,9.977,92.604,94.675,21.204,9.375,6.568,1.530,0.791,1.163,1.231,1.418,24,10,30
GA,3.768,98.817,99.112,19.452,7.804,4.977,1.525,0.364,0.811,0.862,1.199,25,1,18
ISGA,6.801,94.970,95.858,23.382,10.549,9.304,2.105,1.300,4.023,1.749,4.245,33,15,42
MOEAD,5.890,95.562,97.041,19.975,8.657,6.157,1.363,0.650,1.667,0.910,1.037,28,6,21
NSGA,13.082,92.899,93.787,31.633,10.287,8.712,3.835,1.275,2.870,2.900,3.862,65,17,42
GA,7.283,97.041,97.337,20.851,9.597,5.973,1.566,0.716,2.288,1.426,1.898,76,8,40
ISGA,3.860,97.633,98.521,19.932,8.029,5.017,1.321,0.427,1.353,0.914,1.047,10,3,16
MOEAD,4.872,95.858,96.746,19.353,9.021,5.172,1.348,0.417,0.829,0.314,0.545,11,6,17
NSGA,7.950,93.195,94.970,20.825,9.798,6.021,1.572,0.601,2.146,1.156,1.177,20,7,23
GA,4.032,97.337,98.225,20.021,8.018,5.139,1.664,0.422,0.653,0.922,1.001,30,2,18
ISGA,3.860,98.225,98.817,21.243,8.904,5.906,1.548,0.664,1.476,0.933,1.370,22,5,27
MOEAD,6.891,96.154,97.337,21.054,9.704,5.803,1.591,0.656,1.047,0.479,0.787,71,7,37
NSGA,12.305,90.237,94.083,23.768,8.503,7.937,1.804,1.234,2.101,1.508,2.399,71,17,40
GA,3.995,96.746,98.817,21.108,8.262,6.525,1.612,0.861,1.934,0.397,1.080,96,4,48
ISGA,10.759,93.195,94.083,22.514,9.822,5.983,2.810,0.696,4.484,4.024,4.257,27,14,37
MOEAD,6.256,96.154,97.633,22.728,9.292,8.595,1.546,1.252,1.842,1.625,2.516,90,9,49
NSGA,8.865,96.154,96.154,19.767,10.520,7.911,1.188,1.213,2.053,1.467,2.538,58,12,43
GA,4.367,97.929,98.521,19.995,8.180,5.167,1.413,0.466,1.908,0.346,0.710,35,5,22
ISGA,3.525,93.491,99.112,20.256,8.294,5.304,1.371,0.486,1.300,0.905,1.169,15,3,21
MOEAD,6.359,94.970,97.041,21.963,8.687,5.876,1.773,0.584,2.361,1.467,1.881,41,7,27
NSGA,11.157,92.308,94.675,27.006,11.464,7.897,2.742,1.024,1.438,2.584,2.323,14,13,21
GA,3.860,97.633,98.521,19.457,8.293,5.208,1.400,0.503,1.159,0.954,1.067,15,2,32
ISGA,6.804,95.562,97.041,23.845,9.864,7.723,1.674,1.314,3.370,1.850,3.062,78,15,56
MOEAD,4.420,97.041,98.225,21.388,8.350,7.700,1.495,0.886,0.699,1.384,1.106,16,9,19
NSGA,7.335,95.562,96.450,22.726,8.736,6.363,1.810,0.706,1.419,1.640,1.722,16,8,19
GA,4.623,97.041,98.225,21.008,8.626,6.007,1.447,0.718,1.952,0.392,0.940,28,7,21
ISGA,5.420,95.562,96.746,21.260,9.674,6.596,1.559,0.787,2.447,1.900,2.465,49,10,33
MOEAD,4.771,97.633,97.929,19.688,9.252,5.566,1.351,0.538,2.333,0.906,1.194,31,6,21
NSGA,14.081,92.012,92.604,29.558,11.043,8.242,3.402,1.197,2.039,3.464,3.369,54,17,36
GA,3.507,98.817,99.112,19.383,7.933,4.854,1.456,0.347,0.895,0.341,0.528,8,2,15
ISGA,3.607,97.633,98.225,19.784,8.009,4.962,1.506,0.364,1.344,0.837,1.074,13,2,20
MOEAD,5.120,97.041,97.633,19.560,8.339,5.198,1.234,0.418,1.164,0.884,1.054,16,4,15
NSGA,15.853,90.533,91.716,32.335,10.251,10.785,3.179,1.900,1.567,2.760,3.984,72,22,40
GA,4.760,95.858,97.929,21.596,10.352,6.448,1.680,0.920,1.821,1.029,1.709,72,8,45
ISGA,3.252,97.929,98.225,22.305,8.929,5.959,1.471,0.789,1.508,0.994,1.453,12,9,25
MOEAD,4.385,97.633,98.521,19.775,8.130,5.264,1.354,0.430,1.070,0.933,1.041,14,3,20
NSGA,4.241,97.633,97.633,21.294,10.188,6.699,1.556,0.852,0.840,0.947,1.409,20,7,24
GA,6.061,97.041,97.337,21.769,9.158,7.081,1.655,1.049,1.803,1.014,1.823,102,7,52
ISGA,5.626,96.746,97.633,20.753,9.357,5.200,1.930,0.464,3.192,2.410,2.739,39,8,38
MOEAD,7.207,95.562,96.746,20.547,9.691,5.930,1.584,0.691,2.723,1.936,2.544,78,9,42
NSGA,10.707,94.083,96.154,21.805,10.546,7.116,1.903,0.870,1.485,1.240,1.510,17,9,21
GA,5.319,96.450,97.337,21.125,9.859,6.320,2.047,0.793,0.874,0.980,1.086,61,6,44
ISGA,6.455,94.083,95.858,23.146,9.996,7.582,1.688,1.094,2.856,1.565,2.236,42,14,36
MOEAD,5.167,97.041,97.337,19.602,8.353,5.130,1.324,0.426,1.523,0.906,1.192,25,5,17
NSGA,7.841,95.266,95.858,20.288,10.076,6.294,1.893,0.600,1.130,1.303,1.628,12,7,16
GA,4.566,97.337,98.225,20.129,8.188,5.244,1.323,0.476,1.736,0.381,0.700,29,4,14
ISGA,4.612,96.746,97.633,20.486,8.708,5.482,1.681,0.486,2.075,1.349,1.659,24,7,27
MOEAD,4.382,97.041,97.633,20.749,8.698,5.902,1.581,0.603,1.360,1.324,1.740,30,7,22
NSGA,13.993,92.604,92.899,26.868,9.401,9.056,2.274,1.368,2.119,2.988,3.991,65,16,37
GA,4.426,98.225,98.225,22.012,9.613,6.581,1.674,0.931,1.198,0.523,1.054,92,7,46
ISGA,3.049,98.225,98.817,20.163,9.951,6.700,1.516,0.742,1.409,0.911,1.446,15,5,23
MOEAD,5.973,96.746,97.337,19.727,8.568,5.196,1.307,0.438,1.960,0.403,0.670,38,4,23
NSGA,6.518,96.450,97.633,22.655,8.727,7.793,1.942,1.104,1.083,1.557,1.870,74,9,49
GA,6.767,95.858,97.337,21.531,9.754,6.972,1.649,0.922,1.340,0.511,1.043,75,10,43
ISGA,6.034,95.858,96.746,20.388,7.970,5.049,1.657,0.451,2.092,1.296,1.590,72,5,35
MOEAD,5.473,97.633,97.929,20.647,8.138,5.853,1.544,0.576,1.727,2.150,2.139,19,6,23
NSGA,8.632,94.379,94.970,21.853,9.724,7.132,1.688,0.934,1.559,1.373,2.020,11,11,27
GA,3.628,97.337,99.112,19.683,8.392,5.018,1.458,0.395,0.835,0.331,0.583,10,2,20
ISGA,3.555,97.337,98.817,20.535,8.313,5.009,1.457,0.390,0.887,0.391,0.503,12,1,17
MOEAD,4.242,97.633,98.225,20.761,8.321,5.764,1.522,0.549,0.655,1.071,1.026,21,3,13
NSGA,9.998,94.379,94.970,20.936,8.408,5.707,1.446,0.581,2.068,1.895,2.322,14,8,26
GA,4.159,96.746,98.817,20.076,8.904,5.478,1.533,0.580,0.951,0.944,1.409,24,5,23
ISGA,4.534,97.929,98.225,20.438,8.227,4.991,1.456,0.387,3.068,1.932,2.124,9,6,19
MOEAD,4.136,98.225,98.521,21.421,8.265,6.825,1.529,0.760,0.661,1.277,1.128,22,7,19
NSGA,9.145,94.675,95.266,23.374,12.421,9.041,2.173,1.449,2.367,2.843,3.580,74,15,47
GA,4.722,97.337,97.929,23.071,8.217,8.930,1.429,1.241,1.006,1.461,1.367,12,12,26
ISGA,5.774,96.450,96.746,20.617,9.374,5.173,1.833,0.473,1.332,1.004,1.272,61,3,42
MOEAD,4.066,97.633,98.521,20.328,9.503,5.659,1.541,0.562,0.970,0.445,0.691,35,5,25
NSGA,8.968,94.675,95.562,21.598,8.466,7.126,1.603,0.990,1.459,1.759,2.071,74,10,46
GA,4.683,98.817,98.817,22.037,9.328,6.664,1.959,0.917,0.900,0.984,1.814,92,6,62
ISGA,4.440,97.041,97.929,20.779,7.954,5.038,1.748,0.413,1.404,0.864,1.060,15,5,23
MOEAD,4.769,97.041,97.929,21.320,8.771,7.175,1.565,0.799,2.111,1.811,2.255,31,8,21
NSGA,5.044,97.929,98.225,19.643,9.668,6.099,1.405,0.744,0.698,0.895,1.737,69,7,48
GA,4.737,95.858,97.633,19.023,8.112,5.792,1.272,0.604,1.954,0.416,0.867,30,3,22
ISGA,5.081,97.041,97.633,21.922,9.736,5.982,1.804,0.779,2.259,1.500,1.999,8,8,36
MOEAD,3.509,98.225,98.817,21.324,9.048,6.649,1.617,0.743,0.791,1.262,1.116,37,6,28
NSGA,7.368,95.858,96.154,22.777,10.073,8.750,1.634,1.295,1.124,0.976,1.854,55,9,30
GA,5.864,97.041,97.337,19.840,9.367,5.316,1.486,0.535,2.178,1.492,1.707,71,4,38
ISGA,3.841,96.450,97.929,20.456,8.602,5.375,1.429,0.609,1.476,0.893,1.256,10,6,27
MOEAD,4.463,97.929,98.225,21.260,8.421,6.308,1.574,0.684,0.704,1.143,1.095,43,5,20
NSGA,7.161,96.746,97.041,23.594,9.640,7.225,1.930,0.864,1.223,1.440,1.446,14,9,16
GA,3.393,99.112,99.112,19.352,8.165,5.009,1.496,0.354,0.758,0.321,0.555,9,1,14
ISGA,6.533,95.562,96.450,24.350,9.339,7.315,2.228,0.963,1.924,1.836,3.111,8,12,21
MOEAD,6.689,97.337,97.633,20.730,9.375,5.732,1.610,0.649,1.812,1.513,1.918,59,5,33
NSGA,5.838,94.379,97.337,21.200,9.189,6.030,1.636,0.756,0.999,0.406,0.952,17,9,24
GA,4.958,97.633,97.929,21.203,8.616,5.879,1.709,0.692,0.949,0.955,1.253,25,9,27
ISGA,3.510,97.633,98.225,20.054,8.936,5.729,1.411,0.619,1.405,0.882,1.299,18,4,16
MOEAD,4.975,97.633,97.929,21.531,8.807,5.974,1.616,0.773,1.816,2.046,2.261,139,10,31
NSGA,8.805,95.562,96.450,24.251,12.468,6.713,2.657,0.813,0.910,1.395,2.349,17,7,20
GA,5.318,97.929,98.225,22.016,9.335,6.492,1.496,0.814,1.137,0.524,0.990,9,9,28
ISGA,3.567,98.521,98.817,21.310,8.767,5.328,1.658,0.509,0.781,0.940,1.102,20,7,15
MOEAD,9.850,94.379,95.266,19.655,8.899,6.004,1.518,0.637,1.431,0.905,1.053,28,7,25
NSGA,7.911,94.970,95.858,21.445,9.624,6.820,1.558,0.892,2.355,2.342,3.089,11,11,23
GA,5.258,97.337,98.225,22.070,9.294,6.249,1.664,0.811,1.198,1.045,1.626,74,5,42
ISGA,6.921,94.379,95.562,25.861,10.475,5.858,3.111,0.732,4.232,2.472,3.281,45,11,41
MOEAD,4.841,97.633,98.225,22.666,8.142,8.169,1.443,1.091,2.907,1.910,2.553,21,13,20
NSGA,8.735,94.379,95.266,24.237,9.050,8.081,1.616,1.292,1.127,1.541,2.204,62,16,33
GA,4.411,97.929,98.225,20.889,9.291,6.289,1.583,0.713,1.110,0.408,0.854,59,7,33
ISGA,3.356,98.225,98.521,20.240,8.453,5.195,1.419,0.487,0.760,0.924,1.053,14,2,14
MOEAD,6.999,96.154,96.746,19.860,8.518,5.242,1.379,0.461,1.906,1.413,1.650,18,5,18
NSGA,10.475,93.787,94.675,21.425,8.858,6.205,1.573,0.579,1.425,1.307,1.673,16,9,16
GA,5.410,96.746,97.633,21.509,9.452,7.154,1.520,0.966,1.065,0.468,1.075,81,7,36
ISGA,8.261,83.728,95.266,23.124,12.289,5.932,3.598,0.921,3.086,1.661,1.986,25,10,108
MOEAD,4.931,97.041,98.817,20.967,9.377,5.520,2.009,0.692,1.167,0.945,1.607,84,6,61
NSGA,8.865,93.787,96.154,24.620,9.715,7.048,1.933,0.995,1.503,1.974,2.592,13,13,33
GA,8.729,95.562,95.858,20.668,9.194,6.726,1.551,0.869,1.197,1.029,1.464,31,7,24
ISGA,3.618,97.929,98.225,19.530,8.999,5.237,1.570,0.466,1.771,1.376,1.672,11,5,22
MOEAD,4.906,97.929,97.929,21.565,8.562,6.128,1.559,0.743,0.704,1.259,1.054,12,6,22
NSGA,13.694,90.533,92.899,22.824,10.274,8.761,1.947,1.203,2.197,1.596,2.668,52,14,37
GA,5.747,95.562,97.633,20.437,8.814,5.782,1.498,0.619,1.625,0.932,1.408,18,9,20
ISGA,4.048,96.746,97.929,19.973,8.999,5.234,1.649,0.504,1.527,0.836,1.175,16,6,27
MOEAD,5.866,96.154,97.337,21.775,9.410,6.395,1.830,0.824,1.501,1.462,2.035,195,7,43
NSGA,8.728,94.379,96.154,21.017,8.482,6.432,1.538,0.679,2.210,1.259,1.945,14,7,22
GA,3.807,99.112,99.112,19.870,8.209,5.031,1.306,0.399,0.930,0.876,1.177,16,2,14
ISGA,8.277,90.533,95.266,28.317,11.206,9.312,2.983,1.450,2.525,2.738,3.285,47,15,41
MOEAD,7.164,95.266,96.450,21.070,10.245,6.348,1.590,0.848,1.098,0.470,0.966,64,9,41
NSGA,10.134,94.083,95.266,21.503,9.319,7.078,1.659,0.974,2.536,2.443,3.010,63,12,56
GA,6.696,94.970,97.041,20.224,9.242,5.459,1.512,0.566,2.045,1.417,1.741,28,6,26
ISGA,5.575,97.337,97.337,21.641,9.441,5.561,1.961,0.632,1.694,0.912,1.277,25,9,26
MOEAD,6.681,94.970,97.041,20.169,8.458,5.699,1.423,0.503,1.598,0.346,0.752,20,4,18
NSGA,7.934,93.491,95.266,23.117,8.906,8.027,1.784,1.181,1.089,1.660,2.059,70,10,33
GA,5.593,96.450,98.225,22.040,9.324,7.335,1.822,1.046,1.384,1.099,1.493,80,8,51
ISGA,5.045,92.308,97.633,21.792,9.462,5.961,1.498,0.811,2.747,1.909,2.519,11,11,29
MOEAD,8.349,91.124,94.379,20.748,9.484,5.896,1.579,0.599,1.638,0.961,1.404,59,7,29
NSGA,6.483,94.675,96.746,21.369,10.030,6.562,1.803,0.755,1.867,0.826,1.411,12,6,28
GA,4.584,96.746,97.041,20.287,8.363,5.542,1.271,0.522,0.894,0.373,0.605,27,3,12
ISGA,4.412,97.633,97.633,20.570,8.257,5.041,1.645,0.453,1.504,0.862,1.102,11,3,24
MOEAD,5.148,97.633,98.225,21.955,8.480,6.449,1.556,0.801,0.715,1.320,1.068,26,8,16
NSGA,9.830,94.379,94.379,25.813,9.341,9.356,2.265,1.289,1.674,2.311,2.648,72,14,33
GA,3.881,97.633,99.112,19.842,8.475,5.222,1.453,0.522,0.964,0.393,0.700,22,2,22
ISGA,4.719,97.337,97.929,21.084,8.652,5.759,1.522,0.580,1.408,0.863,1.274,27,5,22
MOEAD,5.222,97.337,97.633,19.410,9.004,5.132,1.363,0.442,0.886,0.349,0.575,13,5,11
NSGA,5.053,92.604,97.041,21.824,8.342,6.005,1.596,0.641,0.852,0.895,1.218,43,4,17
GA,5.118,93.787,97.929,21.267,8.816,6.187,1.412,0.784,1.857,0.431,1.009,34,9,29
ISGA,5.682,94.083,95.266,22.676,8.970,7.838,2.014,1.033,2.853,1.994,2.519,38,12,40
MOEAD,4.349,96.450,98.521,21.048,8.535,6.085,1.527,0.666,1.827,1.162,1.223,138,5,17
NSGA,10.148,92.012,94.379,21.831,10.655,7.380,1.806,0.963,1.788,2.058,2.253,63,12,54
GA,4.155,98.521,99.112,22.122,9.881,6.857,1.703,0.983,0.942,1.383,1.273,71,5,39
ISGA,4.297,96.154,97.337,19.934,8.399,4.886,1.543,0.322,0.873,0.353,0.452,24,2,23
MOEAD,6.583,96.450,97.337,20.098,8.154,5.226,1.561,0.440,0.838,0.942,1.010,17,2,19
NSGA,8.375,94.675,95.266,21.772,9.351,7.040,1.414,0.871,0.960,1.211,1.439,12,10,21
