算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
NSGA,18.077,86.667,89.667,35.757,35.44,16.287,5.136,2.399,3.714,3.555,4.758,85,27,97
ISGA,10.822,88,90,30.438,39.322,13.557,5.133,2.153,4.236,3.528,5.891,43,24,98
NSGA,12.514,89,91.667,34.498,33.339,14.522,5.043,1.952,4.107,4.266,5.7,78,19,92
ISGA,8.884,71.667,73,35.874,34.308,13.137,5.005,2.486,1.854,3.58,3.801,48,14,71
ISGA,10.428,67.333,68.333,31.377,34.964,11.712,4.984,2.154,8.254,5.625,7.189,49,16,81
NSGA,15.928,86.667,90.333,35.391,30.606,14.548,4.891,1.942,2.566,1.682,2.884,54,23,79
NSGA,11.934,90.667,92.667,31.763,29.437,11.793,4.813,1.873,4.055,3.057,5.489,64,20,79
NSGA,12.321,90.667,93.333,34.939,29.286,16.169,4.686,2.202,3.02,4.417,4.429,71,17,100
ISGA,7.094,67,69,29.848,35.721,11.001,4.676,2.021,3.274,3.094,4.052,49,7,86
MOEAD,4.736,97,97.667,28.094,27.985,15.297,4.667,2.317,2.219,1.957,3.265,82,15,100
NSGA,12.658,89.333,91.667,36.857,27.326,14.849,4.643,1.962,5.455,4.274,5.466,88,19,88
MOEAD,4.33,95.667,98.333,26.105,24.906,12.232,4.614,1.445,2.078,1.741,2.405,76,9,92
NSGA,14.601,87,90.333,34.087,30.501,14.389,4.612,1.855,2.89,3.384,4.108,92,19,73
ISGA,8.885,78.667,81.333,31.705,38.347,13.841,4.548,2.185,5.942,4.713,7.096,70,18,94
NSGA,16.852,89,90.667,37.261,30.107,16.134,4.523,2.364,2.035,2.792,4.038,72,27,82
ISGA,13.795,72.667,74.667,37.874,39.857,21.812,4.519,2.612,4.737,4.76,5.884,52,17,57
ISGA,8.179,85.333,87.667,31.692,39.45,13.608,4.492,2.142,5.411,4.27,5.29,64,15,94
MOEAD,9.111,95,96,32.046,30.157,12.435,4.453,1.783,3.404,3.035,4.056,86,10,88
ISGA,8.492,68.333,70,34.153,33.208,12.419,4.449,2.003,4.71,3.908,5.242,60,11,70
ISGA,15.92,81,82.667,36.449,33.754,18.07,4.443,2.116,3.474,3.564,3.822,38,22,69
NSGA,12.407,87.667,91.333,32.668,31.75,16.377,4.382,2.302,4.312,3.368,4.043,72,19,96
NSGA,16.465,86.333,89.333,31.368,30.455,16.694,4.352,2.303,2.933,3.352,3.404,66,17,84
ISGA,8.037,89.333,90.667,30.096,31.031,10.708,4.331,1.419,3.762,3.594,5.105,50,15,79
ISGA,8.516,73.667,76.333,30.038,31.296,11.179,4.316,1.657,2.882,2.578,3.458,42,7,69
