a [mm],alpha [°],d [mm],theta [°]
0,1.5707963267949,0,1.5707963267949
0,1.5707963267949,0,-1.5707963267949
0,1.5707963267949,0,1.5707963267949
0,0,295.5,-0.00645975138478226
204.105999115762,1.5707963267949,3.78450222076629,1.57611097668564
2.81904874367965,1.5707963267949,376.216481169798,3.12488876234818
0.671768654186964,1.5707963267949,0.403600767306506,3.15144897373443
0.253712399200026,1.5707963267949,161.17759942705,3.14159265358979
