#r11,r12,r13,r14,r21,r22,r23,r24,r31,r32,r33,r34,r41,r42,r43,r44
0.98496,0.0140545,0.172213,520.8,0.17231,-0.153777,-0.972966,-1537.68,0.0128077,0.988006,-0.153885,-1348.26,0,0,0,1
0.952985,-0.0586572,-0.297287,517.418,-0.302748,-0.142843,-0.942305,-1551.12,0.0128077,0.988006,-0.153885,-1348.26,0,0,0,1
0.531628,-0.137072,-0.835813,517.335,-0.846881,-0.071105,-0.527007,-1569.49,0.0128077,0.988006,-0.153885,-1348.26,0,0,0,1
0.0659425,-0.154398,-0.985806,502.342,-0.997741,0.0024783,-0.067129,-1573.83,0.0128077,0.988006,-0.153885,-1348.26,0,0,0,1
