# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
43,SUCCESS_CARTESIAN,100,1.896472,3,0.334872,0.225448,1.327269,0.1,0.836758,0.542213,2.372736,-1.371052,0.572244
44,SUCCESS_CARTESIAN,100,1.843181,3,0.334585,0.213636,1.301549,0.1,0.829182,0.519962,2.380269,-1.372318,0.54533
45,SUCCESS_CARTESIAN,100,4.018081,3,0.334358,0.202466,1.275529,0.1,0.821368,0.498453,2.387996,-1.373176,0.518636
46,SUCCESS_CARTESIAN,100,3.828553,3,0.333775,0.191937,1.249205,0.1,0.813304,0.477667,2.395913,-1.373643,0.492125
47,SUCCESS_CARTESIAN,100,3.971936,3,0.333447,0.182046,1.222573,0.1,0.804978,0.457588,2.404014,-1.373731,0.465763
48,SUCCESS_CARTESIAN,100,4.058781,3,0.332124,0.172796,1.19563,0.1,0.796383,0.438186,2.412289,-1.37346,0.439503
49,SUCCESS_CARTESIAN,100,2.238057,3,0.338779,0.164185,1.168378,0.1,0.787499,0.419476,2.420734,-1.372822,0.413336
50,SUCCESS_CARTESIAN,100,1.879641,3,0.337885,0.15622,1.140813,0.1,0.778312,0.401443,2.429334,-1.371828,0.387229
51,SUCCESS_CARTESIAN,100,1.70334,3,0.334371,0.148906,1.112934,0.1,0.768807,0.384081,2.438075,-1.370482,0.361153
52,SUCCESS_CARTESIAN,100,1.697176,3,0.346487,0.142248,1.084742,0.1,0.758969,0.367386,2.446942,-1.368787,0.335084
53,SUCCESS_CARTESIAN,100,1.560703,3,0.341449,0.136253,1.056239,0.1,0.74878,0.351356,2.455919,-1.366741,0.308998
54,SUCCESS_CARTESIAN,100,1.494439,3,0.34598,0.130929,1.027428,0.1,0.738225,0.335991,2.464985,-1.364345,0.28287
55,SUCCESS_CARTESIAN,100,1.473287,3,0.347907,0.126284,0.998312,0.1,0.727288,0.32129,2.474121,-1.361594,0.256679
56,SUCCESS_CARTESIAN,100,1.628135,3,0.34985,0.122327,0.968897,0.1,0.715952,0.307256,2.483303,-1.358483,0.230408
57,SUCCESS_CARTESIAN,100,1.904987,3,0.351536,0.119066,0.939191,0.1,0.704203,0.29389,2.492509,-1.355004,0.204037
58,SUCCESS_CARTESIAN,100,1.686752,3,0.351862,0.116511,0.909202,0.1,0.692026,0.281196,2.501713,-1.351151,0.177551
59,SUCCESS_CARTESIAN,100,2.0001,3,0.352396,0.114665,0.878943,0.1,0.679411,0.269202,2.510879,-1.34689,0.15096
60,SUCCESS_CARTESIAN,100,1.78711,3,0.359677,0.113546,0.848421,0.1,0.666346,0.257871,2.519992,-1.342244,0.12422
61,SUCCESS_CARTESIAN,100,1.588812,3,0.354932,0.113157,0.817655,0.1,0.652825,0.247229,2.529015,-1.337181,0.097344
62,SUCCESS_CARTESIAN,100,1.535233,3,0.353803,0.113504,0.78666,0.1,0.638842,0.23728,2.537918,-1.331685,0.070331
