# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7,,
39,SUCCESS_CARTESIAN,100,0.886475,3,0.29513,1.158194,1.863583,0.100001,4.496802,0.63923,-2.265976,-1.258269,2.554974,4.432375,
40,SUCCESS_CARTESIAN,100,0.822628,3,0.446675,1.145259,1.871633,0.100005,4.446242,0.61369,-2.269837,-1.249584,2.595442,4.11314,
41,SUCCESS_CARTESIAN,100,0.845454,3,0.361024,1.136713,1.85998,0.100002,4.434919,0.589052,-2.289835,-1.265527,2.613094,4.22727,
42,SUCCESS_CARTESIAN,100,0.712221,3,0.417099,1.122991,1.863772,0.1,4.391753,0.565249,-2.297801,-1.261745,2.647871,3.561105,
43,SUCCESS_CARTESIAN,100,0.995904,3,0.310465,1.112419,1.855541,0.1,4.372074,0.542223,-2.314474,-1.273021,2.667835,4.97952,
44,SUCCESS_CARTESIAN,100,1.289869,3,0.330395,1.100834,1.848871,0.100032,4.348461,0.519871,-2.329676,-1.282189,2.688936,6.449345,
45,SUCCESS_CARTESIAN,100,0.825993,3,0.312479,1.092415,1.83285,0.100004,4.342822,0.498445,-2.350223,-1.302796,2.697137,4.129965,
46,SUCCESS_CARTESIAN,100,0.785287,3,0.337261,1.085589,1.812289,0.100003,4.345357,0.477656,-2.372667,-1.328689,2.698186,3.926435,
47,SUCCESS_CARTESIAN,100,0.79101,3,0.394436,1.070733,1.811185,0.1,4.308193,0.457592,-2.382962,-1.330245,2.723806,3.95505,
48,SUCCESS_CARTESIAN,100,0.787884,3,0.325349,1.057911,1.803631,0.100001,4.283011,0.4382,-2.396787,-1.339526,2.740313,3.93942,
49,SUCCESS_CARTESIAN,100,0.72532,3,0.38442,1.046314,1.793822,0.101311,4.261996,0.415734,-2.412131,-1.354451,2.755189,3.6266,
50,SUCCESS_CARTESIAN,100,0.712856,3,0.27447,1.034737,1.780623,0.1,4.24595,0.401479,-2.427368,-1.367018,2.759968,3.56428,
51,SUCCESS_CARTESIAN,100,0.856302,3,0.299528,1.025006,1.764643,0.1,4.23523,0.384116,-2.444136,-1.385753,2.761903,4.28151,
52,SUCCESS_CARTESIAN,100,0.894777,3,0.474397,1.003587,1.769275,0.1,4.18117,0.367422,-2.450639,-1.378955,2.793943,4.473885,
53,SUCCESS_CARTESIAN,100,0.777125,3,0.307647,0.995963,1.748705,0.100012,4.178266,0.351351,-2.468568,-1.402796,2.787173,3.885625,
54,SUCCESS_CARTESIAN,100,0.765843,3,0.313085,0.988908,1.72705,0.100001,4.176792,0.336013,-2.486437,-1.427302,2.777348,3.829215,
55,SUCCESS_CARTESIAN,100,0.680114,3,0.411831,0.970462,1.723707,0.100126,4.136153,0.320965,-2.495567,-1.429686,2.795819,3.40057,
56,SUCCESS_CARTESIAN,100,0.694536,3,0.31975,0.956463,1.712159,0.1,4.111521,0.307273,-2.507911,-1.440944,2.800293,3.47268,
57,SUCCESS_CARTESIAN,100,0.670197,3,0.311201,0.944852,1.696819,0.100188,4.094205,0.293395,-2.521526,-1.457146,2.798024,3.350985,
58,SUCCESS_CARTESIAN,100,0.63058,3,0.374729,0.935619,1.67775,0.100025,4.084025,0.281151,-2.536224,-1.476509,2.787886,3.1529,
59,SUCCESS_CARTESIAN,100,0.664896,3,0.369607,0.918507,1.669017,0.1,4.050241,0.269205,-2.545944,-1.483336,2.795116,3.32448,
60,SUCCESS_CARTESIAN,100,0.622356,3,0.310253,0.909501,1.649365,0.100033,4.03978,0.257785,-2.560028,-1.502945,2.782169,3.11178,
61,SUCCESS_CARTESIAN,100,0.670797,3,0.419717,0.888835,1.643491,0.1,3.996935,0.247237,-2.567449,-1.505256,2.793815,3.353985,
62,SUCCESS_CARTESIAN,100,2.124178,3,0.374482,0.878709,1.624836,0.100448,3.982558,0.236082,-2.580158,-1.523724,2.781446,10.62089,
63,SUCCESS_CARTESIAN,100,2.681838,3,0.32744,0.864742,1.609988,0.100306,3.958059,0.227228,-2.590548,-1.535525,2.77496,13.40919,
64,SUCCESS_CARTESIAN,100,1.919916,3,0.416755,0.843635,1.601878,0.100308,3.915768,0.218693,-2.597178,-1.53866,2.782069,9.59958,
65,SUCCESS_CARTESIAN,100,2.02566,3,0.402936,0.823625,1.591384,0.100006,3.877144,0.211687,-2.604194,-1.54308,2.784413,10.1283,
66,SUCCESS_CARTESIAN,100,4.252746,3,0.376544,0.804583,1.579116,0.100006,3.841231,0.204597,-2.611349,-1.549615,2.783609,21.26373,
67,SUCCESS_CARTESIAN,100,1.392952,3,0.351241,0.787939,1.56416,0.10025,3.810902,0.197581,-2.619135,-1.559457,2.777141,6.96476,
68,SUCCESS_CARTESIAN,100,1.151592,3,0.381364,0.769212,1.550219,0.100705,3.775986,0.190734,-2.62562,-1.56748,2.773624,5.75796,
69,SUCCESS_CARTESIAN,100,0.887832,3,0.407138,0.747452,1.537305,0.1,3.73511,0.187737,-2.630504,-1.569846,2.772562,4.43916,
70,SUCCESS_CARTESIAN,100,0.83288,3,0.472548,0.719098,1.527516,0.100016,3.680998,0.183538,-2.632492,-1.567505,2.782833,4.1644,
71,SUCCESS_CARTESIAN,100,0.791124,3,0.441697,0.693638,1.514353,0.100001,3.633594,0.180178,-2.635177,-1.568203,2.786426,3.95562,
72,SUCCESS_CARTESIAN,100,0.764537,3,0.468525,0.66517,1.50128,0.100113,3.580843,0.177232,-2.63636,-1.566491,2.793999,3.822685,
73,SUCCESS_CARTESIAN,100,0.84895,3,0.422866,0.641171,1.4848,0.100739,3.536997,0.173669,-2.638485,-1.57,2.793869,4.24475,
74,SUCCESS_CARTESIAN,100,0.876146,3,0.4811,0.609827,1.469978,0.10211,3.479599,0.168882,-2.637655,-1.568521,2.8058,4.38073,
75,SUCCESS_CARTESIAN,100,0.81585,3,0.517845,0.573475,1.454715,0.103821,3.413603,0.163949,-2.634853,-1.563352,2.825116,4.07925,
76,SUCCESS_CARTESIAN,100,0.93488,3,0.324797,0.561456,1.430622,0.101721,3.391792,0.169918,-2.638482,-1.56997,2.801021,4.6744,
77,SUCCESS_CARTESIAN,100,0.914175,3,0.416341,0.538644,1.408943,0.101028,3.350039,0.172901,-2.638191,-1.569871,2.795698,4.570875,
78,SUCCESS_CARTESIAN,100,0.901412,3,0.438427,0.513319,1.386654,0.100015,3.30349,0.177494,-2.636344,-1.56622,2.793948,4.50706,
79,SUCCESS_CARTESIAN,100,0.924611,3,0.428686,0.49503,1.362478,0.1,3.268824,0.180185,-2.635836,-1.569981,2.783202,4.623055,
80,SUCCESS_CARTESIAN,100,0.895525,3,0.421568,0.472237,1.338058,0.100001,3.225701,0.183581,-2.633112,-1.569141,2.779823,4.477625,
81,SUCCESS_CARTESIAN,100,1.002166,3,0.44658,0.446712,1.313123,0.102143,3.177194,0.182006,-2.628674,-1.57,2.783994,5.01083,
82,SUCCESS_CARTESIAN,100,1.763684,3,0.378291,0.433174,1.286107,0.100011,3.148946,0.192588,-2.627225,-1.569983,2.765441,8.81842,
83,SUCCESS_CARTESIAN,100,1.336961,3,0.455161,0.407638,1.259033,0.101734,3.099024,0.193608,-2.620999,-1.567701,2.770767,6.684805,
84,SUCCESS_CARTESIAN,100,1.048451,3,0.341773,0.398114,1.23115,0.100074,3.076187,0.204415,-2.619319,-1.569996,2.74889,5.242255,
85,SUCCESS_CARTESIAN,100,0.824475,3,0.401232,0.37926,1.202475,0.100302,3.036219,0.21089,-2.613625,-1.567548,2.744487,4.122375,
86,SUCCESS_CARTESIAN,100,0.812505,3,0.544579,0.337806,1.168993,0.100001,2.95519,0.219519,-2.598887,-1.542481,2.774147,4.062525,
87,SUCCESS_CARTESIAN,100,0.809133,3,0.456734,0.323658,1.138593,0.1004,2.921292,0.226975,-2.592842,-1.541617,2.765501,4.045665,
88,SUCCESS_CARTESIAN,100,0.761078,3,0.379853,0.326202,1.112735,0.105518,2.916882,0.222415,-2.592565,-1.565809,2.739511,3.80539,
89,SUCCESS_CARTESIAN,100,1.968034,3,0.341731,0.32544,1.084518,0.103858,2.905158,0.236805,-2.590588,-1.57,2.710702,9.84017,
90,SUCCESS_CARTESIAN,100,3.042603,3,0.396891,0.31761,1.05457,0.103031,2.879862,0.249655,-2.585204,-1.568448,2.694847,15.213015,
91,SUCCESS_CARTESIAN,100,1.177516,3,0.346205,0.313956,1.025504,0.102401,2.861223,0.262672,-2.581114,-1.57,2.674294,5.88758,
92,SUCCESS_CARTESIAN,100,0.830474,3,0.348521,0.314247,0.996913,0.100053,2.848669,0.281073,-2.578444,-1.569981,2.646804,4.15237,
93,SUCCESS_CARTESIAN,100,0.817631,3,0.35018,0.309723,0.967345,0.1,2.826636,0.293922,-2.572954,-1.569651,2.630838,4.088155,
94,SUCCESS_CARTESIAN,100,0.748712,3,0.347919,0.305583,0.937844,0.100598,2.804427,0.30563,-2.567105,-1.57,2.616435,3.74356,
95,SUCCESS_CARTESIAN,100,0.761558,3,0.349362,0.304082,0.908796,0.100498,2.786054,0.319935,-2.562127,-1.569996,2.598336,3.80779,
96,SUCCESS_CARTESIAN,100,1.076988,3,0.366101,0.299248,0.878907,0.102281,2.760734,0.32968,-2.554675,-1.569997,2.588995,5.38494,
97,SUCCESS_CARTESIAN,100,1.245061,3,0.351867,0.298994,0.850084,0.102695,2.74284,0.343861,-2.549342,-1.57,2.572057,6.225305,
98,SUCCESS_CARTESIAN,100,0.835219,3,0.371828,0.30719,0.823483,0.100102,2.739593,0.367126,-2.549,-1.569997,2.539383,4.176095,
99,SUCCESS_CARTESIAN,100,0.83668,3,0.343071,0.307553,0.794942,0.101229,2.721163,0.38063,-2.543285,-1.57,2.52466,4.1834,
100,SUCCESS_CARTESIAN,100,0.74722,3,0.370759,0.30313,0.765053,0.104836,2.692964,0.387714,-2.533668,-1.569976,2.521634,3.7361,
101,SUCCESS_CARTESIAN,100,0.793334,3,0.334193,0.3092,0.738197,0.104551,2.683392,0.406456,-2.530913,-1.57,2.498397,3.96667,
102,SUCCESS_CARTESIAN,100,0.838172,3,0.342672,0.316589,0.711838,0.104176,2.675498,0.426129,-2.52894,-1.57,2.474018,4.19086,
103,SUCCESS_CARTESIAN,100,0.884543,3,0.361854,0.325113,0.685946,0.103802,2.668985,0.446495,-2.527693,-1.569998,2.44885,4.422715,
104,SUCCESS_CARTESIAN,100,0.838997,3,0.376948,0.3221,0.655925,0.107242,2.639207,0.456382,-2.516326,-1.566247,2.447346,4.194985,
105,SUCCESS_CARTESIAN,100,0.840269,3,0.331475,0.326377,0.629764,0.110913,2.623728,0.466124,-2.510985,-1.569895,2.43592,4.201345,
106,SUCCESS_CARTESIAN,100,0.825646,3,0.458138,0.325565,0.600729,0.115009,2.596513,0.475133,-2.500175,-1.567733,2.43379,4.12823,
107,SUCCESS_CARTESIAN,100,0.989335,3,0.317543,0.332345,0.575372,0.117933,2.583963,0.488123,-2.495881,-1.569976,2.419201,4.946675,
108,SUCCESS_CARTESIAN,100,4.126305,3,0.335401,0.342821,0.551,0.118863,2.577332,0.50763,-2.494445,-1.57,2.396981,20.631525,
109,SUCCESS_CARTESIAN,100,1.693402,3,0.32376,0.348665,0.525166,0.122182,2.560969,0.520547,-2.488327,-1.57,2.385926,8.46701,
110,SUCCESS_CARTESIAN,100,1.281119,3,0.320314,0.35756,0.500618,0.124601,2.549796,0.536735,-2.484762,-1.569997,2.369659,6.405595,
111,SUCCESS_CARTESIAN,100,4.179662,3,0.318265,0.364744,0.475644,0.128146,2.534526,0.550021,-2.479093,-1.57,2.358283,20.89831,
112,SUCCESS_CARTESIAN,100,1.331292,3,0.310778,0.377054,0.452807,0.129904,2.528668,0.56938,-2.478405,-1.57,2.337192,6.65646,
113,SUCCESS_CARTESIAN,100,0.909374,3,0.312635,0.388045,0.429717,0.132606,2.519531,0.586395,-2.4761,-1.569986,2.320086,4.54687,
114,SUCCESS_CARTESIAN,100,0.775274,3,0.310454,0.397405,0.406256,0.136359,2.506451,0.60064,-2.471663,-1.569987,2.307564,3.87637,
115,SUCCESS_CARTESIAN,100,0.730604,3,0.312241,0.406238,0.382828,0.140684,2.491595,0.613558,-2.4662,-1.569991,2.297252,3.65302,
116,SUCCESS_CARTESIAN,100,0.730137,3,0.312099,0.415304,0.359716,0.145248,2.476481,0.626187,-2.46054,-1.569967,2.287489,3.650685,
117,SUCCESS_CARTESIAN,100,0.78534,3,0.309834,0.424518,0.33685,0.150026,2.460876,0.638553,-2.454561,-1.569757,2.278376,3.9267,
118,SUCCESS_CARTESIAN,100,0.794918,3,0.293879,0.437315,0.315867,0.153801,2.45213,0.654706,-2.452683,-1.57,2.262817,3.97459,
119,SUCCESS_CARTESIAN,100,0.706057,3,0.300064,0.448992,0.294627,0.158281,2.440338,0.669023,-2.449026,-1.57,2.250499,3.530285,
120,SUCCESS_CARTESIAN,100,0.755636,3,0.346911,0.455575,0.271436,0.165143,2.41721,0.675783,-2.438289,-1.56999,2.249971,3.77818,
121,SUCCESS_CARTESIAN,100,0.786891,3,0.289409,0.469282,0.251658,0.169395,2.408349,0.691725,-2.436452,-1.57,2.235149,3.934455,
122,SUCCESS_CARTESIAN,100,0.764448,3,0.302767,0.478378,0.230076,0.175819,2.389074,0.700699,-2.427988,-1.57,2.231078,3.82224,
123,SUCCESS_CARTESIAN,100,0.744091,3,0.296429,0.491199,0.210474,0.181,2.377044,0.714339,-2.424162,-1.569992,2.219859,3.720455,
124,SUCCESS_CARTESIAN,100,0.778617,3,0.290181,0.502184,0.190308,0.187206,2.36044,0.724801,-2.417346,-1.57,2.21343,3.893085,
125,SUCCESS_CARTESIAN,100,0.705548,3,0.29862,0.512778,0.170208,0.19383,2.342287,0.734144,-2.409457,-1.569981,2.208653,3.52774,
126,SUCCESS_CARTESIAN,100,0.749287,3,0.320722,0.521543,0.149286,0.201374,2.319205,0.740532,-2.398183,-1.569582,2.208604,3.746435,
127,SUCCESS_CARTESIAN,100,1.080671,3,0.285421,0.532852,0.130202,0.20834,2.301453,0.749258,-2.390426,-1.57,2.204065,5.403355,
128,SUCCESS_CARTESIAN,100,0.987683,3,0.287577,0.545269,0.111824,0.214967,2.285252,0.759504,-2.383696,-1.569998,2.197693,4.938415,
129,SUCCESS_CARTESIAN,100,1.66693,3,0.286491,0.562586,0.096425,0.219777,2.279449,0.776721,-2.384208,-1.57,2.181149,8.33465,
130,SUCCESS_CARTESIAN,100,0.993813,3,0.334826,0.570526,0.076173,0.228735,2.251875,0.779023,-2.369515,-1.569984,2.186187,4.969065,
