# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7,,
171,SUCCESS_CARTESIAN,100,2.056289,3,0.420158,1.515195,0.045884,0.520568,2.737839,1.3622,-0.106331,1.57,-1.59326,10.281445,
172,SUCCESS_CARTESIAN,100,1.173272,3,0.256211,1.52908,0.052509,0.528841,2.725244,1.368985,-0.108821,1.569668,-1.593016,5.86636,
173,SUCCESS_CARTESIAN,100,0.723737,3,0.308202,1.541104,0.057184,0.536765,2.702911,1.379541,-0.101888,1.565713,-1.590507,3.618685,
174,SUCCESS_CARTESIAN,100,0.737403,3,0.44195,1.547154,0.059451,0.544692,2.655666,1.389398,-0.070603,1.562749,-1.583746,3.687015,
175,SUCCESS_CARTESIAN,100,0.681139,3,0.284678,1.560946,0.068483,0.552953,2.644585,1.393322,-0.074933,1.565051,-1.584225,3.405695,
176,SUCCESS_CARTESIAN,100,0.661787,3,0.336474,1.576262,0.080073,0.561313,2.642649,1.394382,-0.088402,1.57,-1.586537,3.308935,
177,SUCCESS_CARTESIAN,100,0.649805,3,0.327205,1.587781,0.085925,0.568955,2.617183,1.405047,-0.07887,1.565662,-1.583985,3.249025,
178,SUCCESS_CARTESIAN,100,0.631908,3,0.270576,1.600734,0.093778,0.576642,2.599272,1.413897,-0.07691,1.562938,-1.582966,3.15954,
179,SUCCESS_CARTESIAN,100,0.633587,3,0.324386,1.611081,0.102116,0.584469,2.572903,1.418946,-0.066749,1.564023,-1.581015,3.167935,
180,SUCCESS_CARTESIAN,100,0.653272,3,0.273076,1.626299,0.114909,0.592308,2.571172,1.421983,-0.081076,1.56677,-1.582944,3.26636,
181,SUCCESS_CARTESIAN,100,0.633985,3,0.344643,1.635548,0.124409,0.600052,2.542395,1.424772,-0.068838,1.569994,-1.580908,3.169925,
182,SUCCESS_CARTESIAN,100,0.681005,3,0.276019,1.647605,0.134826,0.607518,2.524044,1.430584,-0.067066,1.57,-1.58025,3.405025,
183,SUCCESS_CARTESIAN,100,0.668195,3,0.298449,1.660353,0.14446,0.614697,2.505273,1.44013,-0.065049,1.566227,-1.579334,3.340975,
184,SUCCESS_CARTESIAN,100,0.644537,3,0.375632,1.669615,0.154356,0.622033,2.474997,1.44443,-0.051792,1.567688,-1.57737,3.222685,
185,SUCCESS_CARTESIAN,100,0.63445,3,0.410933,1.677417,0.161816,0.629109,2.432888,1.451744,-0.026951,1.566072,-1.574029,3.17225,
186,SUCCESS_CARTESIAN,100,0.671327,3,0.396594,1.692581,0.178801,0.636335,2.437883,1.453214,-0.049038,1.569999,-1.57658,3.356635,
187,SUCCESS_CARTESIAN,100,0.738825,3,0.485168,1.697232,0.184755,0.64324,2.379938,1.459063,-0.008799,1.569707,-1.571783,3.694125,
188,SUCCESS_CARTESIAN,100,0.712879,3,0.389608,1.705231,0.194122,0.650055,2.34033,1.464096,0.013066,1.57,-1.569397,3.564395,
189,SUCCESS_CARTESIAN,100,0.64655,3,0.332775,1.718261,0.208911,0.656736,2.330486,1.469357,0.005151,1.57,-1.57027,3.23275,
190,SUCCESS_CARTESIAN,100,0.63835,3,0.28516,1.730308,0.221634,0.663183,2.310604,1.477521,0.00702,1.567009,-1.570134,3.19175,
191,SUCCESS_CARTESIAN,100,0.63957,3,0.346702,1.739968,0.234022,0.669615,2.281752,1.482434,0.017621,1.567158,-1.56923,3.19785,
192,SUCCESS_JOINT_SPACE,100,64.143804,34,3.902803,2.311199,0.007693,0.722727,4.95966,1.046574,0.540438,-1.010956,1.310811,320.71902,
193,SUCCESS_CARTESIAN,100,1.829403,3,0.387365,2.321532,0.014829,0.734045,4.982874,1.036236,0.502769,-1.007535,1.321929,9.147015,
194,SUCCESS_CARTESIAN,100,0.918013,3,0.3099,2.33584,0.032929,0.741817,4.985613,1.027972,0.47915,-0.999695,1.329607,4.590065,
195,SUCCESS_CARTESIAN,100,0.783005,3,0.373302,2.34645,0.05007,0.747683,4.993925,1.028646,0.446121,-0.998569,1.345683,3.915025,
196,SUCCESS_CARTESIAN,100,0.688656,3,0.40119,2.355847,0.067969,0.752802,5.001999,1.03232,0.412332,-1.000553,1.36332,3.44328,
197,SUCCESS_CARTESIAN,100,0.659771,3,0.398835,2.367666,0.087532,0.759103,5.004995,1.029135,0.385967,-0.997534,1.375072,3.298855,
198,SUCCESS_CARTESIAN,100,0.682025,3,0.402692,2.381406,0.121662,0.764182,4.971999,1.031342,0.399888,-1.006496,1.369103,3.410125,
199,SUCCESS_CARTESIAN,100,0.643643,3,0.33796,2.395112,0.140847,0.771761,4.976106,1.020028,0.373755,-0.995516,1.378242,3.218215,
200,SUCCESS_CARTESIAN,100,0.670425,3,0.366754,2.409003,0.168243,0.778271,4.960927,1.013352,0.368659,-0.992437,1.378732,3.352125,
201,SUCCESS_CARTESIAN,100,0.729304,3,0.31365,2.42069,0.191967,0.784127,4.956682,1.009107,0.349928,-0.989433,1.386966,3.64652,
202,SUCCESS_CARTESIAN,100,0.646771,3,0.343946,2.430359,0.214642,0.788989,4.95679,1.008904,0.324917,-0.989457,1.399725,3.233855,
203,SUCCESS_CARTESIAN,100,0.638688,3,0.342569,2.44258,0.238374,0.79534,4.953416,1.000535,0.305422,-0.982351,1.407617,3.19344,
204,SUCCESS_CARTESIAN,100,0.650103,3,0.344768,2.453961,0.259333,0.801708,4.957713,0.991309,0.276543,-0.97319,1.420627,3.250515,
205,SUCCESS_CARTESIAN,100,0.658228,3,0.361347,2.462218,0.284882,0.805475,4.953442,0.993733,0.255414,-0.976592,1.43245,3.29114,
206,SUCCESS_CARTESIAN,100,0.660275,3,0.370731,2.470613,0.30604,0.810105,4.960008,0.991107,0.221977,-0.97379,1.449856,3.301375,
207,SUCCESS_CARTESIAN,100,0.650674,3,0.329693,2.480823,0.330235,0.815506,4.958723,0.983916,0.198279,-0.96765,1.46146,3.25337,
208,SUCCESS_CARTESIAN,100,0.647199,3,0.416134,2.487419,0.351301,0.819199,4.967383,0.983947,0.161312,-0.967752,1.481716,3.235995,
209,SUCCESS_CARTESIAN,100,0.617184,3,0.527033,2.492897,0.361796,0.824219,5.001823,0.976781,0.093374,-0.959591,1.518575,3.08592,
210,SUCCESS_CARTESIAN,100,0.604534,3,0.353662,2.501849,0.3869,0.828962,5.000089,0.970062,0.068864,-0.954745,1.531884,3.02267,
211,SUCCESS_CARTESIAN,100,0.596842,3,0.347883,2.510329,0.415651,0.832817,4.99057,0.966576,0.053427,-0.953448,1.540449,2.98421,
212,SUCCESS_CARTESIAN,100,0.598591,3,0.344714,2.517735,0.442607,0.836425,4.986169,0.963302,0.031516,-0.952197,1.552803,2.992955,
213,SUCCESS_CARTESIAN,100,0.609997,3,0.334415,2.52655,0.470601,0.840918,4.978737,0.955072,0.013146,-0.946066,1.5632,3.049985,
214,SUCCESS_CARTESIAN,100,0.606941,3,0.397152,2.534887,0.491769,0.84655,4.98742,0.94091,-0.02562,-0.93414,1.585883,3.034705,
215,SUCCESS_CARTESIAN,100,0.638393,3,0.385905,2.538964,0.515238,0.848926,4.993654,0.940465,-0.061526,-0.936385,1.607041,3.191965,
216,SUCCESS_CARTESIAN,100,0.602256,3,0.409922,2.541481,0.542439,0.849589,4.992545,0.946733,-0.087938,-0.945358,1.622133,3.01128,
217,SUCCESS_CARTESIAN,100,1.120018,3,0.385408,2.546727,0.565954,0.853016,4.998058,0.939692,-0.123427,-0.941709,1.643499,5.60009,
218,SUCCESS_CARTESIAN,100,2.57896,3,0.345993,2.551866,0.59192,0.856007,4.998084,0.933694,-0.152329,-0.939053,1.66118,12.8948,
219,SUCCESS_CARTESIAN,100,2.12635,3,0.509557,2.551619,0.606514,0.857812,5.027184,0.932005,-0.216587,-0.944319,1.699271,10.63175,
220,SUCCESS_CARTESIAN,100,2.719439,3,0.40142,2.566082,0.643582,0.865431,4.996056,0.904291,-0.210975,-0.917251,1.700623,13.597195,
221,SUCCESS_CARTESIAN,100,3.371962,3,0.434553,2.567109,0.665307,0.866794,5.007886,0.902692,-0.254774,-0.92155,1.727563,16.85981,
222,SUCCESS_CARTESIAN,100,1.861635,3,0.356449,2.568953,0.695604,0.866977,5.000176,0.905173,-0.273427,-0.92712,1.738332,9.308175,
223,SUCCESS_CARTESIAN,100,0.946741,3,0.405172,2.566768,0.724747,0.86457,4.997417,0.917843,-0.295896,-0.943291,1.748887,4.733705,
224,SUCCESS_CARTESIAN,100,0.687846,3,0.389798,2.568363,0.751526,0.865608,4.997207,0.914788,-0.324594,-0.944968,1.76657,3.43923,
225,SUCCESS_CARTESIAN,100,0.692262,3,0.441256,2.567815,0.773252,0.866305,5.009332,0.912265,-0.367966,-0.950047,1.792743,3.46131,
226,SUCCESS_CARTESIAN,100,0.692498,3,0.358087,2.568536,0.79932,0.867105,5.010672,0.908374,-0.398581,-0.95202,1.811817,3.46249,
227,SUCCESS_CARTESIAN,100,0.654201,3,0.357102,2.569259,0.825607,0.86798,5.011184,0.90324,-0.428528,-0.952957,1.830958,3.271005,
228,SUCCESS_CARTESIAN,100,0.67483,3,0.427076,2.570173,0.847283,0.870247,5.021206,0.891405,-0.471767,-0.950903,1.860363,3.37415,
229,SUCCESS_CARTESIAN,100,0.772926,3,0.383006,2.571964,0.882717,0.870054,5.000326,0.888996,-0.475647,-0.948812,1.863525,3.86463,
230,SUCCESS_CARTESIAN,100,0.743825,3,0.423509,2.57036,0.906636,0.870081,5.006301,0.884781,-0.51165,-0.953033,1.886141,3.719125,
231,SUCCESS_CARTESIAN,100,0.770945,3,0.445667,2.567211,0.925947,0.870171,5.022732,0.879435,-0.559846,-0.960304,1.916209,3.854725,
232,SUCCESS_CARTESIAN,100,0.739213,3,0.416564,2.561228,0.946452,0.867935,5.038002,0.882792,-0.602767,-0.97537,1.939049,3.696065,
233,SUCCESS_CARTESIAN,100,0.818962,3,0.471969,2.556381,0.963229,0.867804,5.059815,0.87659,-0.655884,-0.985871,1.971606,4.09481,
234,SUCCESS_CARTESIAN,100,0.75973,3,0.391029,2.548967,0.984835,0.864522,5.072714,0.882481,-0.693453,-1.003282,1.988907,3.79865,
235,SUCCESS_CARTESIAN,100,0.771692,3,0.363406,2.544819,1.013482,0.861832,5.067475,0.885066,-0.712231,-1.010845,1.997456,3.85846,
236,SUCCESS_CARTESIAN,100,0.716243,3,0.491278,2.536092,1.026148,0.860437,5.099039,0.881425,-0.772249,-1.029684,2.030636,3.581215,
237,SUCCESS_CARTESIAN,100,0.706977,3,0.368273,2.533047,1.053092,0.859192,5.095062,0.876322,-0.794885,-1.032553,2.04521,3.534885,
238,SUCCESS_CARTESIAN,100,0.707989,3,0.377578,2.526232,1.077299,0.855953,5.099244,0.878565,-0.822555,-1.044382,2.057584,3.539945,
239,SUCCESS_CARTESIAN,100,0.680248,3,0.426472,2.51707,1.094478,0.853234,5.119325,0.877828,-0.867065,-1.061971,2.079558,3.40124,
240,SUCCESS_CARTESIAN,100,0.674194,3,0.365443,2.508161,1.115903,0.84944,5.129581,0.88068,-0.899469,-1.07747,2.092702,3.37097,
241,SUCCESS_CARTESIAN,100,0.958077,3,0.403176,2.498923,1.137432,0.845422,5.139113,0.883634,-0.930596,-1.092744,2.104602,4.790385,
242,SUCCESS_CARTESIAN,100,1.090458,3,0.332255,2.490381,1.16163,0.841051,5.141652,0.887243,-0.954276,-1.104823,2.112268,5.45229,
243,SUCCESS_CARTESIAN,100,1.000307,3,0.417181,2.478402,1.18224,0.835392,5.154011,0.895429,-0.985118,-1.124427,2.118987,5.001535,
244,SUCCESS_CARTESIAN,100,1.015842,3,0.399134,2.469618,1.202419,0.832243,5.163278,0.892314,-1.017088,-1.136208,2.134167,5.07921,
245,SUCCESS_CARTESIAN,100,0.778021,3,0.36193,2.458618,1.222221,0.827635,5.174569,0.894515,-1.048349,-1.152016,2.144404,3.890105,
246,SUCCESS_CARTESIAN,100,0.857344,3,0.36731,2.455539,1.254575,0.824312,5.1513,0.890544,-1.04998,-1.145898,2.148287,4.28672,
247,SUCCESS_CARTESIAN,100,0.943297,3,0.398724,2.443047,1.275357,0.818167,5.1601,0.897617,-1.076572,-1.162527,2.152292,4.716485,
248,SUCCESS_CARTESIAN,100,0.87118,3,0.349687,2.434862,1.305084,0.812058,5.145206,0.90382,-1.081744,-1.165461,2.14907,4.3559,
249,SUCCESS_CARTESIAN,100,0.798722,3,0.36285,2.424045,1.326231,0.806909,5.149673,0.905222,-1.106159,-1.176547,2.156322,3.99361,
250,SUCCESS_CARTESIAN,100,0.776421,3,0.320661,2.414619,1.349547,0.801974,5.147271,0.904954,-1.124743,-1.182988,2.162755,3.882105,
251,SUCCESS_CARTESIAN,100,0.729521,3,0.30902,2.404228,1.372727,0.796339,5.145068,0.90692,-1.142481,-1.190366,2.166808,3.647605,
252,SUCCESS_CARTESIAN,100,0.736066,3,0.379582,2.388483,1.387371,0.789714,5.164904,0.912402,-1.178224,-1.211381,2.172783,3.68033,
253,SUCCESS_CARTESIAN,100,0.723637,3,0.379564,2.380184,1.40224,0.788276,5.17566,0.895115,-1.213352,-1.218977,2.198231,3.618185,
254,SUCCESS_CARTESIAN,100,0.865489,3,0.371892,2.366071,1.419268,0.78193,5.186793,0.897928,-1.241407,-1.234272,2.203195,4.327445,
255,SUCCESS_CARTESIAN,100,2.345581,3,0.346731,2.353361,1.437234,0.776174,5.193522,0.89758,-1.266445,-1.245847,2.209815,11.727905,
256,SUCCESS_CARTESIAN,100,2.433921,3,0.405522,2.338666,1.447628,0.771818,5.21653,0.89069,-1.306767,-1.265432,2.225457,12.169605,
257,SUCCESS_CARTESIAN,100,1.218027,3,0.333158,2.324497,1.469358,0.763419,5.215207,0.900112,-1.321513,-1.274591,2.219722,6.090135,
258,SUCCESS_CARTESIAN,100,0.765247,3,0.283936,2.310617,1.488325,0.756183,5.218036,0.904044,-1.341222,-1.28454,2.219916,3.826235,
259,SUCCESS_CARTESIAN,100,0.865195,3,0.402227,2.289593,1.497328,0.747874,5.247918,0.911946,-1.381983,-1.311268,2.219139,4.325975,
260,SUCCESS_CARTESIAN,100,0.816902,3,0.394738,2.270487,1.507219,0.740622,5.272909,0.914722,-1.419792,-1.333712,2.221702,4.08451,
261,SUCCESS_CARTESIAN,100,0.926462,3,0.323953,2.254393,1.526656,0.731408,5.274473,0.925407,-1.436459,-1.342842,2.213306,4.63231,
262,SUCCESS_CARTESIAN,100,0.91036,3,0.310959,2.245607,1.550198,0.725124,5.257814,0.922791,-1.441248,-1.338996,2.216806,4.5518,
263,SUCCESS_CARTESIAN,100,0.911249,3,0.290298,2.23437,1.566524,0.719988,5.257399,0.914617,-1.460421,-1.344133,2.22718,4.556245,
264,SUCCESS_CARTESIAN,100,0.991113,3,0.278741,2.221372,1.583795,0.713168,5.256141,0.91314,-1.477179,-1.349501,2.230464,4.955565,
265,SUCCESS_CARTESIAN,100,0.986586,3,0.288466,2.209313,1.603533,0.705837,5.2478,0.913302,-1.487742,-1.350582,2.231547,4.93293,
266,SUCCESS_CARTESIAN,100,1.008606,3,0.314323,2.192822,1.616883,0.697944,5.256302,0.915346,-1.511273,-1.361879,2.231343,5.04303,
267,SUCCESS_CARTESIAN,100,0.987555,3,0.290496,2.179229,1.631469,0.691311,5.257806,0.911427,-1.530295,-1.368436,2.236638,4.937775,
268,SUCCESS_CARTESIAN,100,0.976691,3,0.317679,2.16732,1.650991,0.683665,5.246474,0.911341,-1.538176,-1.367207,2.237577,4.883455,
269,SUCCESS_CARTESIAN,100,0.902119,3,0.292774,2.151391,1.663961,0.675774,5.251793,0.911795,-1.559045,-1.376021,2.238146,4.510595,
270,SUCCESS_CARTESIAN,100,1.002851,3,0.29415,2.13369,1.676792,0.66661,5.258435,0.917234,-1.579899,-1.385435,2.233317,5.014255,
271,SUCCESS_CARTESIAN,100,0.950389,3,0.288045,2.117896,1.689387,0.658621,5.262196,0.917127,-1.599411,-1.39287,2.233864,4.751945,
272,SUCCESS_CARTESIAN,100,1.200804,3,0.287018,2.103729,1.709071,0.648721,5.24883,0.92484,-1.603842,-1.38948,2.226647,6.00402,
273,SUCCESS_CARTESIAN,100,4.26037,3,0.388841,2.083671,1.724953,0.636408,5.248932,0.942865,-1.617049,-1.393394,2.208625,21.30185,
274,SUCCESS_CARTESIAN,100,2.017684,3,0.386147,2.064611,1.728336,0.629346,5.27199,0.937217,-1.652777,-1.41164,2.213481,10.08842,
275,SUCCESS_CARTESIAN,100,4.244467,3,0.332109,2.048651,1.743728,0.619444,5.266055,0.943769,-1.663161,-1.411728,2.206961,21.222335,
276,SUCCESS_CARTESIAN,100,1.239853,3,0.316182,2.032031,1.757572,0.609562,5.262918,0.949848,-1.675788,-1.413194,2.200716,6.199265,
277,SUCCESS_CARTESIAN,100,0.780843,3,0.273991,2.015531,1.767861,0.600908,5.265713,0.949995,-1.694038,-1.418489,2.199941,3.904215,
278,SUCCESS_CARTESIAN,100,0.713074,3,0.232859,2.002979,1.780965,0.593426,5.256855,0.944456,-1.703723,-1.417649,2.205606,3.56537,
279,SUCCESS_CARTESIAN,100,0.749774,3,0.268729,1.985775,1.793643,0.583072,5.253488,0.951463,-1.715805,-1.418176,2.198216,3.74887,
280,SUCCESS_CARTESIAN,100,0.747825,3,0.224709,1.973401,1.80547,0.575828,5.244884,0.94408,-1.725841,-1.41762,2.205653,3.739125,
281,SUCCESS_CARTESIAN,100,0.743386,3,0.272455,1.955892,1.814195,0.56636,5.247721,0.946338,-1.743447,-1.42209,2.202295,3.71693,
282,SUCCESS_CARTESIAN,100,0.904494,3,0.281998,1.941307,1.821559,0.559029,5.248718,0.93869,-1.760947,-1.427139,2.208806,4.52247,
283,SUCCESS_CARTESIAN,100,1.043844,3,0.279554,1.926454,1.827614,0.551858,5.251595,0.930089,-1.779907,-1.433587,2.215818,5.21922,
284,SUCCESS_CARTESIAN,100,0.919244,3,0.310948,1.906219,1.834401,0.540814,5.258433,0.93829,-1.799632,-1.438702,2.205529,4.59622,
285,SUCCESS_CARTESIAN,100,0.979948,3,0.264245,1.896568,1.844993,0.534848,5.24383,0.923805,-1.805437,-1.436361,2.220334,4.89974,
286,SUCCESS_CARTESIAN,100,1.001669,3,0.271019,1.879714,1.852966,0.525085,5.242083,0.925721,-1.819119,-1.437675,2.217207,5.008345,
287,SUCCESS_CARTESIAN,100,1.183569,3,0.24978,1.868425,1.861206,0.518692,5.232286,0.91277,-1.828435,-1.437907,2.229762,5.917845,
288,SUCCESS_CARTESIAN,100,1.146003,3,0.252213,1.852796,1.867909,0.509834,5.229607,0.910252,-1.841861,-1.439711,2.230954,5.730015,
289,SUCCESS_CARTESIAN,100,1.123564,3,0.263369,1.839397,1.874604,0.502311,5.223414,0.90184,-1.853292,-1.441014,2.238369,5.61782,
290,SUCCESS_CARTESIAN,100,0.874592,3,0.283048,1.823865,1.879257,0.493934,5.222708,0.896873,-1.868428,-1.444659,2.241379,4.37296,
291,SUCCESS_CARTESIAN,100,0.873585,3,0.244427,1.809923,1.887565,0.485058,5.211955,0.893821,-1.875672,-1.441715,2.244319,4.367925,
292,SUCCESS_CARTESIAN,100,0.838915,3,0.252394,1.797078,1.896775,0.476477,5.197253,0.889367,-1.880146,-1.436791,2.24939,4.194575,
293,SUCCESS_CARTESIAN,100,0.917009,3,0.278197,1.783346,1.905549,0.467292,5.183416,0.887249,-1.885012,-1.431602,2.252086,4.585045,
294,SUCCESS_CARTESIAN,100,1.131622,3,0.266506,1.766189,1.909453,0.457264,5.181963,0.888482,-1.898706,-1.432711,2.249105,5.65811,
295,SUCCESS_CARTESIAN,100,0.999181,3,0.369706,1.745973,1.90912,0.446402,5.191254,0.893036,-1.920029,-1.43889,2.24059,4.995905,
296,SUCCESS_CARTESIAN,100,1.012605,3,0.279364,1.72834,1.911211,0.436298,5.191955,0.894286,-1.935333,-1.440842,2.236881,5.063025,
297,SUCCESS_CARTESIAN,100,0.899725,3,0.265384,1.714067,1.919714,0.426064,5.175135,0.895962,-1.937439,-1.432274,2.236687,4.498625,
298,SUCCESS_CARTESIAN,100,0.789716,3,0.335385,1.703257,1.929921,0.417673,5.15038,0.889808,-1.934737,-1.421796,2.245742,3.94858,
299,SUCCESS_CARTESIAN,100,0.764558,3,0.255455,1.689897,1.934518,0.409295,5.138783,0.883532,-1.941985,-1.419047,2.251983,3.82279,
