Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
503.000000,0.000000,0.000000,6.518951,0.000000,0.000000,0.000000,561.525024,158.028000,1064.408081,2.906319,1.246867,1.445737,1.150048,1.525393,0.000000,0.000000,6.994373,0.000000,0.000000,0.000000,-78.586436,-1049.315599,-1773.515593
508.000000,0.000000,0.000000,6.518951,0.000000,0.000000,0.000000,561.525024,158.028000,1064.408081,2.906319,1.246867,1.445737,1.150048,1.525393,0.000000,0.000000,6.994373,0.000000,0.000000,0.000000,-66.841484,-1047.485531,-1773.444302
515.000000,0.000000,0.000000,6.492071,0.000000,0.000000,0.000000,561.525024,158.028000,1064.408081,2.906319,1.246867,1.445737,1.150048,1.525393,0.000000,0.000000,7.350096,0.000000,0.000000,0.000000,-53.973125,-1052.822181,-1774.556232
520.000000,0.000000,0.000000,6.492071,0.000000,0.000000,0.000000,561.525024,158.028000,1064.408081,2.906319,1.246867,1.445737,1.150048,1.525393,0.000000,0.000000,7.350096,0.000000,0.000000,0.000000,-42.230578,-1050.994628,-1774.479904
60582.000000,0.000000,0.000000,-9.619901,0.000000,0.000000,0.000000,435.895996,194.927994,1101.582031,2.534159,0.986331,1.890216,1.168142,2.086485,0.000000,0.000000,3.461194,0.000000,0.000000,0.000000,-29.959014,-1052.541917,-1774.960759
60588.000000,0.000000,0.000000,-9.619901,0.000000,0.000000,0.000000,435.895996,194.927994,1101.582031,2.534159,0.986331,1.890216,1.168142,2.086485,0.000000,0.000000,3.461194,0.000000,0.000000,0.000000,-18.213967,-1050.714384,-1774.884488
63315.000000,0.000000,0.000000,-144.389036,0.000000,0.000000,0.000000,459.151001,269.989014,1116.363037,2.556167,0.919240,1.858308,1.180902,2.185107,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,-7.997345,-1039.136342,-1773.198415
63323.000000,0.000000,0.000000,-144.389036,0.000000,0.000000,0.000000,459.151001,269.989014,1116.363037,2.556167,0.919240,1.858308,1.180902,2.185107,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,3.745259,-1037.308808,-1773.119588
63349.000000,0.000000,0.000000,-142.246304,0.000000,0.000000,0.000000,459.151001,269.989014,1116.363037,2.556167,0.919240,1.858308,1.180902,2.185107,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,13.959440,-1025.730763,-1771.430958
63356.000000,0.000000,0.000000,-142.246304,0.000000,0.000000,0.000000,459.151001,269.989014,1116.363037,2.556167,0.919240,1.858308,1.180902,2.185107,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,25.702007,-1023.900711,-1771.354612
125079.000000,0.000000,0.000000,4.208017,0.000000,0.000000,0.000000,334.169006,299.250000,1118.404053,2.623073,0.909987,1.797563,1.216435,2.204569,0.000000,0.000000,5.016740,0.000000,0.000000,0.000000,38.211346,-1026.962236,-1772.085861
125085.000000,0.000000,0.000000,4.208017,0.000000,0.000000,0.000000,334.169006,299.250000,1118.404053,2.623073,0.909987,1.797563,1.216435,2.204569,0.000000,0.000000,5.016740,0.000000,0.000000,0.000000,49.956507,-1025.134740,-1772.004592
245580.000000,0.000000,0.000000,6.300109,0.000000,0.000000,0.000000,368.208984,218.414001,1100.328003,2.621310,0.981126,1.823859,1.231138,2.130110,0.000000,0.000000,5.906565,0.000000,0.000000,0.000000,62.604442,-1029.066447,-1772.874162
245585.000000,0.000000,0.000000,6.300109,0.000000,0.000000,0.000000,368.208984,218.414001,1100.328003,2.621310,0.981126,1.823859,1.231138,2.130110,0.000000,0.000000,5.906565,0.000000,0.000000,0.000000,74.347162,-1027.238950,-1772.790336
249981.000000,0.000000,0.000000,-118.590434,0.000000,0.000000,0.000000,438.005005,421.816010,1147.188965,2.620591,0.785541,1.753169,1.191739,2.335350,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,84.561457,-1015.660942,-1771.096708
249987.000000,0.000000,0.000000,-118.590434,0.000000,0.000000,0.000000,438.005005,421.816010,1147.188965,2.620591,0.785541,1.753169,1.191739,2.335350,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,96.304061,-1013.833408,-1771.017880
250005.000000,0.000000,0.000000,-118.590434,0.000000,0.000000,0.000000,438.005005,421.816010,1147.188965,2.620591,0.785541,1.753169,1.191739,2.335350,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,106.518241,-1002.255364,-1769.329250
250010.000000,0.000000,0.000000,-118.590434,0.000000,0.000000,0.000000,438.005005,421.816010,1147.188965,2.620591,0.785541,1.753169,1.191739,2.335350,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,118.261018,-1000.427885,-1769.242925
251123.000000,0.000000,0.000000,-64.225680,0.000000,0.000000,0.000000,426.320007,432.867004,1145.489014,2.620591,0.785541,1.753169,1.191739,2.335182,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,130.198063,-999.839727,-1769.361210
251128.000000,0.000000,0.000000,-64.225680,0.000000,0.000000,0.000000,426.320007,432.867004,1145.489014,2.620591,0.785541,1.753169,1.191739,2.335182,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,141.940704,-998.014711,-1769.279901
253541.000000,0.000000,0.000000,-59.830348,0.000000,0.000000,0.000000,408.789001,489.367004,1143.678955,2.620591,0.785541,1.753169,1.191739,2.335671,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,152.154921,-986.439185,-1767.588790
253547.000000,0.000000,0.000000,-59.830348,0.000000,0.000000,0.000000,408.789001,489.367004,1143.678955,2.620591,0.785541,1.753169,1.191739,2.335671,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,163.902754,-984.611765,-1767.500081
