Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
607.000000,0.000000,0.000000,-14.585702,0.000000,0.000000,0.000000,374.049988,206.389999,1112.598999,2.354168,0.890902,-1.126895,-1.083455,-0.963584,0.000000,0.000000,1.428021,0.000000,0.000000,0.000000,-37.665283,-1039.708515,-1762.725609
614.000000,0.000000,0.000000,-14.585702,0.000000,0.000000,0.000000,374.049988,206.389999,1112.598999,2.354168,0.890902,-1.126895,-1.083455,-0.963584,0.000000,0.000000,1.428021,0.000000,0.000000,0.000000,-25.959748,-1037.661631,-1762.571045
624.000000,0.000000,0.000000,-14.210307,0.000000,0.000000,0.000000,374.049988,206.389999,1112.598999,2.354168,0.890902,-1.126895,-1.083455,-0.963584,0.000000,0.000000,1.601106,0.000000,0.000000,0.000000,-13.975981,-1037.172541,-1762.662907
631.000000,0.000000,0.000000,-14.210307,0.000000,0.000000,0.000000,374.049988,206.389999,1112.598999,2.354168,0.890902,-1.126895,-1.083455,-0.963584,0.000000,0.000000,1.601106,0.000000,0.000000,0.000000,-2.267946,-1035.125631,-1762.508381
5355.000000,0.000000,0.000000,-20.590963,0.000000,0.000000,0.000000,466.773010,233.757004,1080.484985,2.552298,1.042801,-1.248390,-1.238578,-1.075721,0.000000,0.000000,-0.002952,0.000000,0.000000,0.000000,9.437120,-1033.075877,-1762.350862
5362.000000,0.000000,0.000000,-20.590963,0.000000,0.000000,0.000000,466.773010,233.757004,1080.484985,2.552298,1.042801,-1.248390,-1.238578,-1.075721,0.000000,0.000000,-0.002952,0.000000,0.000000,0.000000,21.142694,-1031.028996,-1762.193799
7425.000000,0.000000,0.000000,-22.040341,0.000000,0.000000,0.000000,460.539001,280.684021,1079.919922,2.552804,1.043662,-1.248528,-1.239030,-1.076453,0.000000,0.000000,-0.394075,0.000000,0.000000,0.000000,32.780338,-1028.596190,-1761.978589
7434.000000,0.000000,0.000000,-22.040341,0.000000,0.000000,0.000000,460.539001,280.684021,1079.919922,2.552804,1.043662,-1.248528,-1.239030,-1.076453,0.000000,0.000000,-0.394075,0.000000,0.000000,0.000000,44.485848,-1026.546806,-1761.824022
7453.000000,0.000000,0.000000,-22.040341,0.000000,0.000000,0.000000,460.539001,280.684021,1079.919922,2.552804,1.043662,-1.248528,-1.239030,-1.076453,0.000000,0.000000,-0.422710,0.000000,0.000000,0.000000,56.121163,-1024.088619,-1761.599447
7460.000000,0.000000,0.000000,-22.040341,0.000000,0.000000,0.000000,460.539001,280.684021,1079.919922,2.552804,1.043662,-1.248528,-1.239030,-1.076453,0.000000,0.000000,-0.422710,0.000000,0.000000,0.000000,67.829276,-1022.041714,-1761.439922
8654.000000,0.000000,0.000000,-20.456206,0.000000,0.000000,0.000000,456.171997,303.593994,1079.552979,2.552804,1.043662,-1.248528,-1.239030,-1.076001,0.000000,0.000000,-0.033386,0.000000,0.000000,0.000000,79.529177,-1019.962354,-1761.272721
8662.000000,0.000000,0.000000,-20.456206,0.000000,0.000000,0.000000,456.171997,303.593994,1079.552979,2.552804,1.043662,-1.248528,-1.239030,-1.076001,0.000000,0.000000,-0.033386,0.000000,0.000000,0.000000,91.234828,-1017.915477,-1761.110658
9956.000000,0.000000,0.000000,-25.229109,0.000000,0.000000,0.000000,447.429993,350.747986,1078.838013,2.552804,1.043662,-1.248528,-1.239030,-1.076210,0.000000,0.000000,-1.298915,0.000000,0.000000,0.000000,102.716711,-1014.604796,-1760.753709
9965.000000,0.000000,0.000000,-25.229109,0.000000,0.000000,0.000000,447.429993,350.747986,1078.838013,2.552804,1.043662,-1.248528,-1.239030,-1.076210,0.000000,0.000000,-1.298915,0.000000,0.000000,0.000000,114.422285,-1012.557914,-1760.596645
9986.000000,0.000000,0.000000,-22.054440,0.000000,0.000000,0.000000,447.429993,350.747986,1078.838013,2.552804,1.043662,-1.248528,-1.239030,-1.076210,0.000000,0.000000,-0.533539,0.000000,0.000000,0.000000,126.036092,-1009.991926,-1760.349978
9993.000000,0.000000,0.000000,-22.054440,0.000000,0.000000,0.000000,447.429993,350.747986,1078.838013,2.552804,1.043662,-1.248528,-1.239030,-1.076210,0.000000,0.000000,-0.533539,0.000000,0.000000,0.000000,137.741782,-1007.945052,-1760.185415
12015.000000,0.000000,0.000000,-11.680502,0.000000,0.000000,0.000000,437.445007,397.333984,1077.911011,2.552804,1.043662,-1.248528,-1.239030,-1.075973,0.000000,0.000000,2.174439,0.000000,0.000000,0.000000,149.821887,-1008.016326,-1760.360470
12023.000000,0.000000,0.000000,-11.680502,0.000000,0.000000,0.000000,437.445007,397.333984,1077.911011,2.552804,1.043662,-1.248528,-1.239030,-1.075973,0.000000,0.000000,2.174439,0.000000,0.000000,0.000000,161.527526,-1005.971947,-1760.200909
12042.000000,0.000000,0.000000,-11.332264,0.000000,0.000000,0.000000,437.445007,397.333984,1077.911011,2.552804,1.043662,-1.248528,-1.239030,-1.075973,0.000000,0.000000,2.380207,0.000000,0.000000,0.000000,173.648156,-1006.240882,-1760.400204
12050.000000,0.000000,0.000000,-11.332264,0.000000,0.000000,0.000000,437.445007,397.333984,1077.911011,2.552804,1.043662,-1.248528,-1.239030,-1.075973,0.000000,0.000000,2.380207,0.000000,0.000000,0.000000,185.358883,-1004.193959,-1760.233218
14073.000000,0.000000,0.000000,-24.549532,0.000000,0.000000,0.000000,433.708008,444.881989,1077.959961,2.552804,1.043662,-1.248528,-1.239030,-1.075795,0.000000,0.000000,-0.987733,0.000000,0.000000,0.000000,196.894433,-1001.186052,-1759.919156
14081.000000,0.000000,0.000000,-24.549532,0.000000,0.000000,0.000000,433.708008,444.881989,1077.959961,2.552804,1.043662,-1.248528,-1.239030,-1.075795,0.000000,0.000000,-0.987733,0.000000,0.000000,0.000000,208.600084,-999.139176,-1759.757093
14100.000000,0.000000,0.000000,-24.364220,0.000000,0.000000,0.000000,433.708008,444.881989,1077.959961,2.552804,1.043662,-1.248528,-1.239030,-1.075795,0.000000,0.000000,-1.002161,0.000000,0.000000,0.000000,220.133252,-996.119736,-1759.435815
14108.000000,0.000000,0.000000,-24.364220,0.000000,0.000000,0.000000,433.708008,444.881989,1077.959961,2.552804,1.043662,-1.248528,-1.239030,-1.075795,0.000000,0.000000,-1.002161,0.000000,0.000000,0.000000,231.839006,-994.075364,-1759.268755
16122.000000,0.000000,0.000000,-20.426775,0.000000,0.000000,0.000000,423.578979,491.415009,1076.994995,2.552804,1.043662,-1.248528,-1.239030,-1.075350,0.000000,0.000000,-0.024112,0.000000,0.000000,0.000000,243.540608,-992.007532,-1759.097984
16131.000000,0.000000,0.000000,-20.426775,0.000000,0.000000,0.000000,423.578979,491.415009,1076.994995,2.552804,1.043662,-1.248528,-1.239030,-1.075350,0.000000,0.000000,-0.024112,0.000000,0.000000,0.000000,255.246362,-989.963161,-1758.930924
