Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
718.000000,0.000000,0.000000,-60.827968,0.000000,0.000000,0.000000,496.095001,148.604996,1065.402954,2.549375,1.177785,-1.187152,-1.267425,-1.219448,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,-81.183898,-1032.745218,-1770.779835
727.000000,0.000000,0.000000,-60.827968,0.000000,0.000000,0.000000,496.095001,148.604996,1065.402954,2.549375,1.177785,-1.187152,-1.267425,-1.219448,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,-69.438945,-1030.915149,-1770.708545
736.000000,0.000000,0.000000,-60.881763,0.000000,0.000000,0.000000,496.095001,148.604996,1065.402954,2.549375,1.177785,-1.187152,-1.267425,-1.219448,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,-59.222417,-1019.334569,-1769.027452
745.000000,0.000000,0.000000,-60.881763,0.000000,0.000000,0.000000,496.095001,148.604996,1065.402954,2.549375,1.177785,-1.187152,-1.267425,-1.219448,0.000000,0.000000,-10.000000,0.000000,0.000000,0.000000,-47.479870,-1017.507017,-1768.951124
2409.000000,0.000000,0.000000,-33.115978,0.000000,0.000000,0.000000,476.710022,155.048004,1068.825928,2.538845,1.143548,-1.186934,-1.251033,-1.187178,0.000000,0.000000,-4.574438,0.000000,0.000000,0.000000,-34.208899,-1025.429975,-1770.484598
2420.000000,0.000000,0.000000,-33.115978,0.000000,0.000000,0.000000,476.710022,155.048004,1068.825928,2.538845,1.143548,-1.186934,-1.251033,-1.187178,0.000000,0.000000,-4.574438,0.000000,0.000000,0.000000,-22.463852,-1023.602443,-1770.408327
6200.000000,0.000000,0.000000,-28.850274,0.000000,0.000000,0.000000,437.624023,192.115005,1073.784058,2.454003,1.110588,-1.115861,-1.207052,-1.168864,0.000000,0.000000,-3.587568,0.000000,0.000000,0.000000,-11.267139,-1018.276848,-1769.754528
6210.000000,0.000000,0.000000,-28.850274,0.000000,0.000000,0.000000,437.624023,192.115005,1073.784058,2.454003,1.110588,-1.115861,-1.207052,-1.168864,0.000000,0.000000,-3.587568,0.000000,0.000000,0.000000,0.475466,-1016.449314,-1769.675701
6233.000000,0.000000,0.000000,-30.754769,0.000000,0.000000,0.000000,437.624023,192.115005,1073.784058,2.454003,1.110588,-1.115861,-1.207052,-1.168864,0.000000,0.000000,-4.063692,0.000000,0.000000,0.000000,11.596966,-1010.659473,-1768.942699
6244.000000,0.000000,0.000000,-30.754769,0.000000,0.000000,0.000000,437.624023,192.115005,1073.784058,2.454003,1.110588,-1.115861,-1.207052,-1.168864,0.000000,0.000000,-4.063692,0.000000,0.000000,0.000000,23.339534,-1008.829420,-1768.866353
7681.000000,0.000000,0.000000,-13.480197,0.000000,0.000000,0.000000,423.460022,237.816010,1072.266968,2.454003,1.110588,-1.115861,-1.207052,-1.168878,0.000000,0.000000,0.351473,0.000000,0.000000,0.000000,35.135821,-1007.342072,-1768.846587
7690.000000,0.000000,0.000000,-13.480197,0.000000,0.000000,0.000000,423.460022,237.816010,1072.266968,2.454003,1.110588,-1.115861,-1.207052,-1.168878,0.000000,0.000000,0.351473,0.000000,0.000000,0.000000,46.880983,-1005.514577,-1768.765317
7710.000000,0.000000,0.000000,-11.335016,0.000000,0.000000,0.000000,423.460022,237.816010,1072.266968,2.454003,1.110588,-1.115861,-1.207052,-1.168878,0.000000,0.000000,1.013304,0.000000,0.000000,0.000000,58.781020,-1004.675105,-1768.847170
7719.000000,0.000000,0.000000,-11.335016,0.000000,0.000000,0.000000,423.460022,237.816010,1072.266968,2.454003,1.110588,-1.115861,-1.207052,-1.168878,0.000000,0.000000,1.013304,0.000000,0.000000,0.000000,70.523739,-1002.847607,-1768.763344
8552.000000,0.000000,0.000000,-15.866063,0.000000,0.000000,0.000000,418.140991,272.838013,1072.081055,2.454003,1.110588,-1.115861,-1.207052,-1.168332,0.000000,0.000000,-0.056851,0.000000,0.000000,0.000000,82.257769,-1000.964677,-1768.670365
8564.000000,0.000000,0.000000,-15.866063,0.000000,0.000000,0.000000,418.140991,272.838013,1072.081055,2.454003,1.110588,-1.115861,-1.207052,-1.168332,0.000000,0.000000,-0.056851,0.000000,0.000000,0.000000,94.000374,-999.137143,-1768.591538
8806.000000,0.000000,0.000000,-18.434291,0.000000,0.000000,0.000000,417.205994,284.808990,1072.160034,2.454003,1.110588,-1.115861,-1.207052,-1.168283,0.000000,0.000000,-0.671928,0.000000,0.000000,0.000000,105.640279,-996.654445,-1768.404543
8817.000000,0.000000,0.000000,-18.434291,0.000000,0.000000,0.000000,417.205994,284.808990,1072.160034,2.454003,1.110588,-1.115861,-1.207052,-1.168283,0.000000,0.000000,-0.671928,0.000000,0.000000,0.000000,117.383056,-994.826966,-1768.318217
9303.000000,0.000000,0.000000,-22.837722,0.000000,0.000000,0.000000,413.424011,309.308990,1071.979004,2.454003,1.110588,-1.115861,-1.207052,-1.168578,0.000000,0.000000,-1.806488,0.000000,0.000000,0.000000,128.849725,-991.238070,-1767.941083
9314.000000,0.000000,0.000000,-22.837722,0.000000,0.000000,0.000000,413.424011,309.308990,1071.979004,2.454003,1.110588,-1.115861,-1.207052,-1.168578,0.000000,0.000000,-1.806488,0.000000,0.000000,0.000000,140.592366,-989.413054,-1767.859774
10342.000000,0.000000,0.000000,-12.350310,0.000000,0.000000,0.000000,403.655029,356.089996,1071.248047,2.454003,1.110588,-1.115861,-1.207052,-1.168353,0.000000,0.000000,0.926034,0.000000,0.000000,0.000000,152.476545,-988.490969,-1767.927538
10354.000000,0.000000,0.000000,-12.350310,0.000000,0.000000,0.000000,403.655029,356.089996,1071.248047,2.454003,1.110588,-1.115861,-1.207052,-1.168353,0.000000,0.000000,0.926034,0.000000,0.000000,0.000000,164.224377,-986.663549,-1767.838829
10379.000000,0.000000,0.000000,-12.350310,0.000000,0.000000,0.000000,403.655029,356.089996,1071.248047,2.454003,1.110588,-1.115861,-1.207052,-1.168353,0.000000,0.000000,1.036149,0.000000,0.000000,0.000000,176.130578,-985.846427,-1767.916918
10391.000000,0.000000,0.000000,-12.350310,0.000000,0.000000,0.000000,403.655029,356.089996,1071.248047,2.454003,1.110588,-1.115861,-1.207052,-1.168353,0.000000,0.000000,1.036149,0.000000,0.000000,0.000000,187.873297,-984.018930,-1767.833092
11942.000000,0.000000,0.000000,-18.922273,0.000000,0.000000,0.000000,396.576996,413.920990,1071.151001,2.454003,1.110588,-1.115861,-1.207052,-1.168027,0.000000,0.000000,-0.587641,0.000000,0.000000,0.000000,199.526200,-981.618452,-1767.654667
11956.000000,0.000000,0.000000,-18.922273,0.000000,0.000000,0.000000,396.576996,413.920990,1071.151001,2.454003,1.110588,-1.115861,-1.207052,-1.168027,0.000000,0.000000,-0.587641,0.000000,0.000000,0.000000,211.269013,-979.793491,-1767.565860
