Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
617.000000,0.000000,0.000000,-24.234273,0.000000,0.000000,0.000000,599.495972,127.525002,1051.498047,2.831535,1.294207,-1.433052,-1.377950,-1.313585,0.000000,0.000000,-1.116790,0.000000,0.000000,0.000000,-103.311146,-1045.061943,-1772.357514
625.000000,0.000000,0.000000,-24.234273,0.000000,0.000000,0.000000,599.495972,127.525002,1051.498047,2.831535,1.294207,-1.433052,-1.377950,-1.313585,0.000000,0.000000,-1.116790,0.000000,0.000000,0.000000,-91.568656,-1043.234372,-1772.283685
636.000000,0.000000,0.000000,-24.073318,0.000000,0.000000,0.000000,599.495972,127.525002,1051.498047,2.831535,1.294207,-1.433052,-1.377950,-1.313585,0.000000,0.000000,-1.132268,0.000000,0.000000,0.000000,-79.999225,-1040.302782,-1772.027583
647.000000,0.000000,0.000000,-24.073318,0.000000,0.000000,0.000000,599.495972,127.525002,1051.498047,2.831535,1.294207,-1.433052,-1.377950,-1.313585,0.000000,0.000000,-1.132268,0.000000,0.000000,0.000000,-68.254272,-1038.472714,-1771.956293
4179.000000,0.000000,0.000000,-7.874520,0.000000,0.000000,0.000000,574.296997,195.757004,1079.374023,2.827868,1.088979,-1.472875,-1.356123,-1.104692,0.000000,0.000000,3.084727,0.000000,0.000000,0.000000,-56.037843,-1039.650411,-1772.381583
4186.000000,0.000000,0.000000,-7.874520,0.000000,0.000000,0.000000,574.296997,195.757004,1079.374023,2.827868,1.088979,-1.472875,-1.356123,-1.104692,0.000000,0.000000,3.084727,0.000000,0.000000,0.000000,-44.295296,-1037.822858,-1772.305254
5610.000000,0.000000,0.000000,-18.149669,0.000000,0.000000,0.000000,568.674011,242.714996,1079.493042,2.827854,1.088351,-1.472979,-1.356076,-1.104144,0.000000,0.000000,0.541115,0.000000,0.000000,0.000000,-32.470043,-1036.522920,-1772.316035
5617.000000,0.000000,0.000000,-18.149669,0.000000,0.000000,0.000000,568.674011,242.714996,1079.493042,2.827854,1.088351,-1.472979,-1.356076,-1.104144,0.000000,0.000000,0.541115,0.000000,0.000000,0.000000,-20.724997,-1034.695388,-1772.239764
5637.000000,0.000000,0.000000,-19.407547,0.000000,0.000000,0.000000,568.674011,242.714996,1079.493042,2.827854,1.088351,-1.472979,-1.356076,-1.104144,0.000000,0.000000,0.234399,0.000000,0.000000,0.000000,-8.944125,-1033.096407,-1772.201227
5644.000000,0.000000,0.000000,-19.407547,0.000000,0.000000,0.000000,568.674011,242.714996,1079.493042,2.827854,1.088351,-1.472979,-1.356076,-1.104144,0.000000,0.000000,0.234399,0.000000,0.000000,0.000000,2.798480,-1031.268873,-1772.122399
7231.000000,0.000000,0.000000,-23.247621,0.000000,0.000000,0.000000,560.416992,301.916992,1079.250977,2.827854,1.088351,-1.472979,-1.356076,-1.104055,0.000000,0.000000,-0.770706,0.000000,0.000000,0.000000,14.423288,-1028.689861,-1771.919503
7238.000000,0.000000,0.000000,-23.247621,0.000000,0.000000,0.000000,560.416992,301.916992,1079.250977,2.827854,1.088351,-1.472979,-1.356076,-1.104055,0.000000,0.000000,-0.770706,0.000000,0.000000,0.000000,26.165856,-1026.859809,-1771.843156
7258.000000,0.000000,0.000000,-21.971548,0.000000,0.000000,0.000000,560.416992,301.916992,1079.250977,2.827854,1.088351,-1.472979,-1.356076,-1.104055,0.000000,0.000000,-0.479002,0.000000,0.000000,0.000000,37.835212,-1024.562705,-1771.689700
7265.000000,0.000000,0.000000,-21.971548,0.000000,0.000000,0.000000,560.416992,301.916992,1079.250977,2.827854,1.088351,-1.472979,-1.356076,-1.104055,0.000000,0.000000,-0.479002,0.000000,0.000000,0.000000,49.580373,-1022.735209,-1771.608431
8749.000000,0.000000,0.000000,-19.424238,0.000000,0.000000,0.000000,553.656982,337.479980,1078.813965,2.827854,1.088351,-1.472979,-1.356076,-1.103717,0.000000,0.000000,0.165672,0.000000,0.000000,0.000000,61.350856,-1021.069253,-1771.553831
8755.000000,0.000000,0.000000,-19.424238,0.000000,0.000000,0.000000,553.656982,337.479980,1078.813965,2.827854,1.088351,-1.472979,-1.356076,-1.103717,0.000000,0.000000,0.165672,0.000000,0.000000,0.000000,73.093575,-1019.241756,-1771.470005
8774.000000,0.000000,0.000000,-19.424238,0.000000,0.000000,0.000000,553.656982,337.479980,1078.813965,2.827854,1.088351,-1.472979,-1.356076,-1.103717,0.000000,0.000000,0.173480,0.000000,0.000000,0.000000,84.862810,-1017.583411,-1771.414106
8782.000000,0.000000,0.000000,-19.424238,0.000000,0.000000,0.000000,553.656982,337.479980,1078.813965,2.827854,1.088351,-1.472979,-1.356076,-1.103717,0.000000,0.000000,0.173480,0.000000,0.000000,0.000000,96.605414,-1015.755877,-1771.335278
9566.000000,0.000000,0.000000,-22.107044,0.000000,0.000000,0.000000,548.408020,372.328003,1078.597046,2.827854,1.088351,-1.472979,-1.356076,-1.103744,0.000000,0.000000,-0.526341,0.000000,0.000000,0.000000,108.267572,-1013.415134,-1771.171720
9572.000000,0.000000,0.000000,-22.107044,0.000000,0.000000,0.000000,548.408020,372.328003,1078.597046,2.827854,1.088351,-1.472979,-1.356076,-1.103744,0.000000,0.000000,-0.526341,0.000000,0.000000,0.000000,120.010348,-1011.587655,-1771.085395
10796.000000,0.000000,0.000000,-20.230524,0.000000,0.000000,0.000000,540.744995,419.069000,1078.215088,2.827854,1.088351,-1.472979,-1.356076,-1.103500,0.000000,0.000000,-0.060382,0.000000,0.000000,0.000000,131.743896,-1009.701300,-1770.989349
10803.000000,0.000000,0.000000,-20.230524,0.000000,0.000000,0.000000,540.744995,419.069000,1078.215088,2.827854,1.088351,-1.472979,-1.356076,-1.103500,0.000000,0.000000,-0.060382,0.000000,0.000000,0.000000,143.486538,-1007.876284,-1770.908040
10822.000000,0.000000,0.000000,-22.509594,0.000000,0.000000,0.000000,540.744995,419.069000,1078.215088,2.827854,1.088351,-1.472979,-1.356076,-1.103500,0.000000,0.000000,-0.664643,0.000000,0.000000,0.000000,155.127593,-1005.403207,-1770.719736
10829.000000,0.000000,0.000000,-22.509594,0.000000,0.000000,0.000000,540.744995,419.069000,1078.215088,2.827854,1.088351,-1.472979,-1.356076,-1.103500,0.000000,0.000000,-0.664643,0.000000,0.000000,0.000000,166.875426,-1003.575788,-1770.631027
11703.000000,0.000000,0.000000,-21.328779,0.000000,0.000000,0.000000,538.842041,431.069000,1078.115967,2.827854,1.088351,-1.472979,-1.356076,-1.103675,0.000000,0.000000,-0.387524,0.000000,0.000000,0.000000,178.564029,-1001.370512,-1770.479933
